@relation users

@attribute stationId {8592776,8592898,8587387,8592910,8587047,8587042,8592816,8587384,8592680,8593033,8592780,8587061,8592860,8592882,8592862,8592885,8571282,8593173,8593174,8592806,8592928,8592907,8592709,8592743,8592886,8592744,8592887,8592866,8592822,8592669,8592703,8592869,8592805,8592892,8592871,8592695,null,8592773,8592850,8592752,8592774,8592796,8592830}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8592776,8592898,8587387,8592910,8587047,8587042,8592816,8587384,8592680,8593033,8592780,8587061,8592860,8592882,8592862,8592885,8571282,8593173,8593174,8592806,8592928,8592907,8592709,8592743,8592886,8592744,8592887,8592866,8592822,8592669,8592703,8592869,8592805,8592892,8592871,8592695,null,8592773,8592850,8592752,8592774,8592796,8592830}

@data
8592860,15,32,1,false,null
8592776,15,33,1,false,8592860
8592744,15,7,3,true,null
8587047,18,29,7,false,null
8571282,15,4,2,true,null
8592752,21,12,7,false,null
8587047,21,15,7,false,8592752
8587061,21,39,7,false,8587047
8592907,21,40,7,false,8587061
8592805,21,45,7,false,8592907
8592860,13,14,2,true,null
8592744,18,2,5,true,null
8592860,5,21,6,true,null
8592773,5,44,6,true,8592860
8587047,13,11,6,true,8592773
8592885,13,41,6,true,8587047
8592892,14,13,6,true,8592885
8592898,14,14,6,true,8592892
8592892,16,7,1,false,null
8592669,17,54,1,false,8592892
8592744,18,42,2,true,null
8587047,18,52,2,true,8592744
8592773,5,53,3,true,null
8592744,18,4,5,true,null
8592885,18,30,5,true,8592744
8592744,18,9,7,false,null
8587047,18,12,7,false,8592744
8592860,16,1,1,false,null
8592776,21,39,1,false,8592860
8592773,5,51,3,true,null
8587047,18,2,5,true,null
8592744,17,43,6,true,null
8587047,17,48,6,true,8592744
8592862,18,17,6,true,8587047
8592885,18,19,6,true,8592862
8592860,16,1,1,false,null
8592773,5,41,2,true,null
8587047,18,51,2,true,8592773
8592885,19,10,2,true,8587047
8587047,18,37,3,true,null
8592773,5,46,4,true,null
8587047,15,1,5,true,null
8592887,15,40,5,true,8587047
8592860,7,55,6,true,null
8592773,8,44,6,true,8592860
8587042,9,21,6,true,8592773
8592744,14,6,6,true,8587042
8592860,4,47,7,false,null
8592871,8,9,7,false,8592860
8592892,9,31,7,false,8592871
8592669,9,43,7,false,8592892
8592892,17,45,7,false,8592669
8592806,17,48,7,false,8592892
8592892,5,59,1,false,null
8593033,13,59,1,false,8592892
8592773,4,44,2,true,null
8592744,19,25,2,true,8592773
8592773,4,46,3,true,null
8592744,12,29,4,true,null
8587047,12,6,5,true,null
8592743,12,24,5,true,8587047
8592744,17,31,5,true,8592743
8592860,10,27,7,false,null
8592773,11,22,7,false,8592860
8592703,11,39,7,false,8592773
8587047,11,39,7,false,8592703
8592744,17,37,2,true,null
8587047,17,42,2,true,8592744
8587061,18,5,2,true,8587047
8592744,15,29,3,true,null
8587047,18,2,3,true,8592744
8592695,18,3,3,true,8587047
8587047,18,3,3,true,8592695
8592773,4,43,4,true,null
8592744,17,28,5,true,null
8587047,17,31,5,true,8592744
8592885,18,1,5,true,8587047
8592752,7,53,6,true,null
8587047,8,0,6,true,8592752
8587042,8,19,6,true,8587047
8592744,16,53,6,true,8587042
8587047,16,55,6,true,8592744
8592860,8,39,7,false,null
8592744,15,3,2,true,null
8587047,15,17,2,true,8592744
8592860,7,11,3,true,null
8592773,8,5,3,true,8592860
8592744,16,29,3,true,8592773
8592860,15,22,5,true,null
8592669,15,27,1,false,null
8592860,15,32,1,false,8592669
8592744,13,49,3,true,null
8592886,10,4,5,true,null
8592744,17,26,5,true,8592886
8592703,17,34,5,true,8592744
8587047,17,34,5,true,8592703
8592744,17,5,6,true,null
8592860,7,39,7,false,null
8592805,10,22,7,false,8592860
8592780,10,57,7,false,8592805
8592860,13,36,1,false,null
8587387,13,59,1,false,8592860
8593173,17,41,1,false,8587387
8592860,20,17,1,false,8593173
8592773,4,51,2,true,null
8592744,17,48,2,true,8592773
8587047,17,51,2,true,8592744
8592773,4,46,3,true,null
8587047,17,28,5,true,null
8592805,18,13,1,false,null
8592773,4,51,2,true,null
8592744,18,10,2,true,8592773
8592709,18,35,2,true,8592744
8587047,18,36,2,true,8592709
8592816,19,17,2,true,8587047
8593174,19,23,2,true,8592816
8592816,19,37,2,true,8593174
8592869,19,39,2,true,8592816
8592850,19,43,2,true,8592869
8592773,4,47,3,true,null
8587047,9,8,6,true,null
8592866,21,26,7,false,null
8592860,7,6,1,false,null
8592776,16,19,1,false,8592860
8592860,3,59,2,true,8592776
8592910,4,26,2,true,8592860
8587047,19,22,2,true,8592910
8592882,12,6,4,true,null
8592669,19,24,4,true,8592882
8592773,4,47,5,true,null
8587047,17,23,5,true,8592773
8587387,19,46,5,true,8587047
8587047,17,39,6,true,null
8587384,18,19,7,false,null
8592680,14,59,1,false,null
8592822,15,4,1,false,8592680
8592928,17,24,1,false,8592822
8592774,19,4,1,false,8592928
8592928,18,28,2,true,null
8592816,18,45,2,true,8592928
8592928,4,4,3,true,null
8587047,17,44,3,true,8592928
8587061,18,16,3,true,8587047
