@relation users

@attribute stationId {8587924,8594933,8592831,8592878,8592835,8593010,8593012,8102924,8592885,8592887,8130050,8102844,8592802,8592924,8592849,8592805,8501007,8592890,8530616,8593144,8593188,8593023,8593189,8592772,null,8592850,8592775,8587907,8593185,8592818,8592930,8587387,8592812,8592935,8587065,8592816,8530699,8593077,8593155,8587061,8594961,8592862,8593070,8593150,8595052,8593152,8587057,8592826,8592791,8592794,8593169,8592993,8595020,8593161}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8587924,8594933,8592831,8592878,8592835,8593010,8593012,8102924,8592885,8592887,8130050,8102844,8592802,8592924,8592849,8592805,8501007,8592890,8530616,8593144,8593188,8593023,8593189,8592772,null,8592850,8592775,8587907,8593185,8592818,8592930,8587387,8592812,8592935,8587065,8592816,8530699,8593077,8593155,8587061,8594961,8592862,8593070,8593150,8595052,8593152,8587057,8592826,8592791,8592794,8593169,8592993,8595020,8593161}

@data
8593077,14,7,6,true,null
8592930,14,10,6,true,8593077
8587065,14,12,6,true,8592930
8530616,14,14,6,true,8587065
8593150,13,25,2,true,null
8593155,13,31,2,true,8593150
8593152,14,44,2,true,8593155
8592812,16,3,2,true,8593152
8593152,5,29,3,true,null
8592812,18,12,3,true,8593152
8593152,14,34,4,true,null
8592794,10,9,5,true,null
8592835,15,21,6,true,null
8593152,15,24,6,true,8592835
8593161,12,26,6,true,8593152
8593144,12,27,6,true,8593161
8593152,13,37,6,true,8593144
8593189,14,20,6,true,8593152
8593185,16,25,6,true,8593189
8593188,16,27,6,true,8593185
8587387,7,45,7,false,null
8593152,12,30,7,false,8587387
8592935,14,16,1,false,null
8594933,15,23,2,true,null
8501007,15,36,2,true,8594933
8593152,6,34,5,true,null
8593144,8,18,6,true,null
8593161,8,21,6,true,8593144
8593012,11,46,6,true,8593161
8594933,12,1,6,true,8593012
8593152,14,1,6,true,8594933
8592818,7,42,7,false,null
8592831,7,46,7,false,8592818
8587387,7,50,7,false,8592831
8593152,9,24,7,false,8587387
8592812,9,45,7,false,8593152
8587387,9,48,7,false,8592812
8587061,18,35,1,false,null
8587057,19,43,1,false,8587061
8593152,6,49,4,true,null
8592812,7,40,7,false,null
8593152,9,26,7,false,8592812
8587924,14,1,7,false,8593152
8593152,15,25,7,false,8587924
8592802,15,35,7,false,8593152
8592862,17,14,7,false,8592802
8593161,9,12,2,true,null
8593152,8,14,3,true,null
8593150,7,16,4,true,null
8593155,7,23,4,true,8593150
8593169,7,25,4,true,8593155
8593144,7,44,4,true,8593169
8593152,13,50,4,true,8593144
8587924,12,15,5,true,null
8593152,16,7,5,true,8587924
8587057,17,1,6,true,null
8592772,17,4,6,true,8587057
8593152,7,40,7,false,null
8587387,10,11,7,false,8593152
8593152,12,56,7,false,8587387
8592924,14,31,2,true,null
8593152,12,3,3,true,null
8595020,18,35,3,true,8593152
8592826,18,36,3,true,8595020
8592791,18,44,3,true,8592826
8592816,22,19,3,true,8592791
8592849,22,37,3,true,8592816
8593152,13,59,4,true,null
8592885,16,48,1,false,null
8593152,6,42,3,true,null
8592850,12,30,3,true,8593152
8592772,12,31,3,true,8592850
8592831,12,32,3,true,8592772
8593152,6,46,4,true,null
8587057,14,59,4,true,8593152
8592772,14,59,4,true,8587057
8593152,15,45,4,true,8592772
8592887,16,18,4,true,8593152
8587907,16,22,4,true,8592887
8592887,16,34,4,true,8587907
8593152,6,45,5,true,null
8530699,11,26,5,true,8593152
8587387,11,26,5,true,8530699
8593152,11,59,5,true,8587387
8592885,8,21,7,false,null
8593152,6,32,2,true,null
8592812,14,3,3,true,null
8592878,14,29,3,true,8592812
8587387,14,58,3,true,8592878
8593152,6,46,4,true,null
8593010,13,38,4,true,8593152
8593152,16,10,4,true,8593010
8593144,16,14,4,true,8593152
8593152,6,47,5,true,null
8593144,9,41,5,true,8593152
8593155,11,2,5,true,8593144
8593152,10,50,6,true,null
8102924,15,43,6,true,8593152
8102844,16,20,6,true,8102924
8130050,7,47,7,false,null
8592775,15,9,3,true,null
8593152,13,12,4,true,null
8594933,14,7,4,true,8593152
8593152,17,0,4,true,8594933
8595020,17,9,4,true,8593152
8592805,17,53,4,true,8595020
8592890,7,50,5,true,null
8592802,7,53,5,true,8592890
8593152,9,55,5,true,8592802
8592835,8,21,6,true,null
8593152,7,35,7,false,null
8592850,10,6,7,false,8593152
8593152,15,33,4,true,null
8593023,13,58,5,true,null
8595052,15,13,5,true,8593023
8593150,15,22,5,true,8595052
8594961,8,33,6,true,null
8593023,11,13,6,true,8594961
8592835,10,48,7,false,null
8595020,10,56,7,false,8592835
8593152,12,18,7,false,8595020
8592993,12,32,7,false,8593152
8593070,12,37,7,false,8592993
