@relation users

@attribute stationId {8583561,8590218,8590217,8590535,8508462,8577605,299431,8572555,8572551,8578732,8590222,299957,8579862,8583559,8590186,8576197,8590184,8590308,8577194,8589859,8590788,8590304,8590269,8590302,8589059,8590270,8590192,8590191,8590190,null,299722,8572464,8503508,8590278,8578566,8590277,8572580,8590199,8590397,8590275,8572582,8580634,8590791,8590273,8590790,8590271,8590239,8590513,8590314,8590797,8589801,8580311,8590279,8590796,8587020,299058,299214,8577225,8572574,8578678,8577149,8590520,8590245,8590244,8590166,8590243,8595490,8503512,8590240,8577187,8577184,8577185,8590803,8590802,8590526,8590248,8590247,8590529,8572524,8578747,8578746,8576246,8573213,8504938,8590179,8573054,8590177,8590176,8583328,8590252,8502873,8590174,8590250,8590173}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8583561,8590218,8590217,8590535,8508462,8577605,299431,8572555,8572551,8578732,8590222,299957,8579862,8583559,8590186,8576197,8590184,8590308,8577194,8589859,8590788,8590304,8590269,8590302,8589059,8590270,8590192,8590191,8590190,null,299722,8572464,8503508,8590278,8578566,8590277,8572580,8590199,8590397,8590275,8572582,8580634,8590791,8590273,8590790,8590271,8590239,8590513,8590314,8590797,8589801,8580311,8590279,8590796,8587020,299058,299214,8577225,8572574,8578678,8577149,8590520,8590245,8590244,8590166,8590243,8595490,8503512,8590240,8577187,8577184,8577185,8590803,8590802,8590526,8590248,8590247,8590529,8572524,8578747,8578746,8576246,8573213,8504938,8590179,8573054,8590177,8590176,8583328,8590252,8502873,8590174,8590250,8590173}

@data
8590278,14,17,6,true,null
8576197,8,20,7,false,null
8590278,18,54,7,false,8576197
8590277,14,46,2,true,null
8590270,15,51,3,true,null
8590314,9,1,5,true,null
8590520,13,15,6,true,null
8590270,11,47,1,false,null
8590277,13,43,3,true,null
8590270,17,51,3,true,8590277
8590278,17,7,4,true,null
8590239,6,51,5,true,null
8577605,9,36,5,true,8590239
8577184,10,12,5,true,8577605
8573054,12,43,5,true,8577184
8590278,6,36,6,true,null
8590244,8,32,6,true,8590278
8590250,8,34,6,true,8590244
8590278,13,26,6,true,8590250
8590174,8,16,1,false,null
8590278,7,15,3,true,null
8590270,7,10,4,true,null
8590278,5,37,5,true,null
8577194,9,7,6,true,null
8589059,11,56,6,true,8577194
8595490,12,2,6,true,8589059
8508462,12,4,6,true,8595490
8577225,12,40,6,true,8508462
8590239,16,24,6,true,8577225
8590526,14,56,7,false,null
8590247,9,20,1,false,null
8590278,14,10,3,true,null
8590797,15,4,3,true,8590278
8590526,15,14,3,true,8590797
8590278,5,45,4,true,null
8590788,8,47,7,false,null
8590278,6,45,2,true,null
8590270,7,26,3,true,null
8590275,7,27,3,true,8590270
8590270,14,23,3,true,8590275
8583559,9,8,4,true,null
8572580,14,57,6,true,null
8572582,15,1,6,true,8572580
8590184,15,7,6,true,8572582
8590166,16,0,6,true,8590184
8590192,16,19,6,true,8590166
8590526,14,59,7,false,null
8503512,15,0,7,false,8590526
8590248,9,50,2,true,null
8590278,6,2,4,true,null
8590217,6,30,4,true,8590278
8590797,8,7,4,true,8590217
8590240,7,30,5,true,null
8590245,7,32,5,true,8590240
8590250,7,38,5,true,8590245
8590179,7,38,5,true,8590250
8590177,7,39,5,true,8590179
8590278,4,27,6,true,null
8580634,13,4,1,false,null
8590278,6,26,1,false,8580634
8590275,11,45,1,false,8590278
8590520,11,47,1,false,8590275
8590278,12,43,3,true,null
8590270,12,53,3,true,8590278
8590269,14,28,5,true,null
8572555,13,3,6,true,null
8572582,13,23,6,true,8572555
8572580,13,24,6,true,8572582
8590270,16,5,3,true,null
8590176,8,33,5,true,null
8583328,9,0,6,true,null
8577184,9,16,3,true,null
8573213,12,57,5,true,null
8590270,14,4,5,true,8573213
8583561,9,8,6,true,null
8580311,9,41,6,true,8583561
8590273,7,23,2,true,null
8503508,7,44,2,true,8590273
8590273,10,21,2,true,8503508
8590222,11,14,5,true,null
8590273,11,28,3,true,null
8572524,12,12,5,true,null
8572464,12,23,5,true,8572524
8590273,17,56,5,true,8572464
8590270,6,31,6,true,null
8590252,7,27,6,true,8590270
8590275,8,28,7,false,null
8590270,10,51,7,false,8590275
8590192,7,54,2,true,null
8590239,8,37,3,true,null
8590248,8,46,3,true,8590239
8590270,7,47,7,false,null
8590273,11,24,7,false,8590270
8590270,17,24,7,false,8590273
8583561,18,30,2,true,null
8590199,18,54,2,true,8583561
8590270,15,27,3,true,null
8590273,15,29,6,true,null
8590270,15,42,7,false,null
8590273,16,21,7,false,8590270
8590250,6,47,2,true,null
8590304,6,48,2,true,8590250
8590218,8,59,3,true,null
299722,9,1,3,true,8590218
8590270,9,5,3,true,299722
8590218,9,32,3,true,8590270
8590270,9,50,3,true,8590218
8590174,16,55,4,true,null
8590190,16,56,4,true,8590174
8590270,9,45,7,false,null
8590273,18,3,7,false,8590270
299957,16,58,1,false,null
8590529,9,8,3,true,null
8590252,14,43,3,true,8590529
8590273,6,55,7,false,null
8590302,7,5,3,true,null
8590270,13,4,4,true,null
8590520,13,6,4,true,8590270
8590273,7,0,5,true,null
8590218,13,34,5,true,8590273
8590535,13,37,5,true,8590218
299431,13,41,5,true,8590535
8587020,13,43,5,true,299431
8590273,7,14,2,true,null
8590791,9,2,4,true,null
8590803,9,5,4,true,8590791
8590273,17,35,4,true,8590803
8589859,9,12,5,true,null
8577187,9,14,5,true,8589859
8577185,9,16,5,true,8577187
8577184,9,19,5,true,8577185
8577149,10,44,5,true,8577184
8590270,7,51,6,true,null
8587020,7,55,6,true,8590270
8590239,8,36,6,true,8587020
8590273,5,7,1,false,null
8504938,12,46,2,true,null
8590173,13,39,4,true,null
8579862,14,17,4,true,8590173
8502873,14,18,4,true,8579862
8579862,14,19,4,true,8502873
8590273,15,36,1,false,null
8590802,8,57,3,true,null
8590790,9,3,3,true,8590802
8590802,9,4,3,true,8590790
8590270,16,45,3,true,8590802
8579862,14,23,4,true,null
8590273,5,38,2,true,null
8572582,9,32,3,true,null
8590308,9,35,3,true,8572582
8590186,13,58,5,true,null
8572574,14,4,5,true,8590186
8590270,17,20,1,false,null
8590273,7,23,2,true,null
8576246,8,42,2,true,8590273
8590243,13,12,3,true,null
8578747,13,19,3,true,8590243
8578732,13,20,3,true,8578747
8578747,13,21,3,true,8578732
8578746,13,33,3,true,8578747
8590270,7,56,7,false,null
8583561,18,43,3,true,null
8590244,9,24,1,false,null
8590270,16,26,5,true,null
8578566,12,27,7,false,null
8590270,16,4,1,false,null
8590273,20,24,2,true,null
8590270,15,59,3,true,null
8590273,7,37,7,false,null
8590270,9,29,7,false,8590273
8590273,13,53,3,true,null
8590270,14,20,3,true,8590273
8590273,8,39,7,false,null
8590270,17,52,2,true,null
