@relation users

@attribute stationId {8588859,8589106,8590213,8589147,8589143,8592365,8592366,8592367,8589180,8590586,8501232,8504100,8504101,8592929,8589139,8590589,8589175,8570001,8591042,8581809,8592374,8591122,null,8592775,8591282,8590271,8502896,8587103,8591368,8594239,8588994,8588351,8589160,8570551,8577743,8577784,8579963,8506105,8577785,8503154,8504881,8501011,8506195,8590526,8588860,8589157,8587255,8587057,8589153,8589270,8577810,8576127,8591343,8501021,8503003,8577771,8503127,8503006}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8588859,8589106,8590213,8589147,8589143,8592365,8592366,8592367,8589180,8590586,8501232,8504100,8504101,8592929,8589139,8590589,8589175,8570001,8591042,8581809,8592374,8591122,null,8592775,8591282,8590271,8502896,8587103,8591368,8594239,8588994,8588351,8589160,8570551,8577743,8577784,8579963,8506105,8577785,8503154,8504881,8501011,8506195,8590526,8588860,8589157,8587255,8587057,8589153,8589270,8577810,8576127,8591343,8501021,8503003,8577771,8503127,8503006}

@data
8589160,19,10,7,false,null
8503154,12,45,2,true,null
8589106,12,48,2,true,8503154
8590589,16,37,2,true,8589106
8589106,13,0,3,true,null
8589160,5,29,2,true,null
8591282,17,1,4,true,null
8588860,18,58,5,true,null
8591042,16,57,6,true,null
8592374,11,3,7,false,null
8504881,15,9,7,false,8592374
8590586,16,5,2,true,null
8588860,17,38,5,true,null
8501232,12,14,7,false,null
8587255,14,41,1,false,null
8588351,19,26,4,true,null
8592367,17,58,5,true,null
8588860,18,37,6,true,null
8577771,8,44,7,false,null
8501011,11,44,7,false,8577771
8501021,16,10,7,false,8501011
8592374,18,4,7,false,8501021
8503127,16,29,2,true,null
8588860,18,56,3,true,null
8577784,18,53,4,true,null
8588860,18,9,5,true,null
8589160,13,37,7,false,null
8594239,17,17,3,true,null
8588860,18,56,3,true,8594239
8589160,18,3,4,true,null
8577784,6,5,6,true,null
8590526,9,49,6,true,8577784
8590271,9,50,6,true,8590526
8592374,18,28,6,true,8590271
8588351,18,57,2,true,null
8502896,17,13,3,true,null
8589160,18,28,3,true,8502896
8504100,19,6,4,true,null
8579963,7,17,5,true,null
8588994,5,57,6,true,null
8592374,18,5,6,true,8588994
8589153,12,39,7,false,null
8589175,17,57,2,true,null
8589160,4,31,4,true,null
8504100,18,8,4,true,8589160
8589106,15,23,6,true,null
8588860,18,10,6,true,8589106
8589157,11,6,7,false,null
8592929,16,6,7,false,8589157
