@relation users

@attribute stationId {8591368,8594239,8591447,8578914,299433,8517376,8578678,299438,8503156,8590520,8503011,8581711,8590308,8590528,8590306,8591818,8590247,8591314,8590309,8590529,8503505,8590292,299301,null,8576304,8502572,8590794,8590310,8590298,8590275,8590297,8503127,8591060,8503125,8580638}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8591368,8594239,8591447,8578914,299433,8517376,8578678,299438,8503156,8590520,8503011,8581711,8590308,8590528,8590306,8591818,8590247,8591314,8590309,8590529,8503505,8590292,299301,null,8576304,8502572,8590794,8590310,8590298,8590275,8590297,8503127,8591060,8503125,8580638}

@data
8503127,17,57,3,true,null
8591314,14,11,4,true,null
8590298,16,31,7,false,null
8503156,14,9,7,false,8590298
8590298,14,56,7,false,8503156
8503156,19,14,1,false,null
8590298,20,50,1,false,8503156
8590309,18,57,1,false,8590298
8578678,19,6,1,false,8590309
8590298,18,32,6,true,null
8590309,20,50,6,true,8590298
8580638,13,8,1,false,null
8591368,17,17,1,false,8580638
8590298,18,19,2,true,null
8590520,16,50,5,true,null
8590247,18,9,5,true,8590520
8590308,18,11,5,true,8590247
8503505,18,12,5,true,8590308
8590309,18,12,5,true,8503505
8590298,16,51,6,true,null
8591060,17,43,6,true,8590298
8502572,18,16,6,true,8591060
8594239,13,50,7,false,null
8590298,18,22,7,false,8594239
8590529,13,14,1,false,null
8590298,7,22,4,true,null
8503505,20,49,5,true,null
8590298,20,55,5,true,8503505
8591447,19,16,1,false,null
8590298,21,10,1,false,8591447
8590794,20,53,4,true,null
8590298,6,57,7,false,null
8503125,9,38,7,false,8590298
8590292,20,22,7,false,8503125
8590298,9,4,5,true,null
8590306,18,18,7,false,null
8503505,20,12,7,false,8590306
8590306,9,58,5,true,null
299438,18,26,7,false,null
8578678,19,20,7,false,299438
8590310,15,59,3,true,null
8590306,14,47,4,true,null
8590298,17,14,7,false,null
8590306,15,33,2,true,null
8590275,15,58,2,true,8590306
8517376,16,2,2,true,8590275
8590528,17,15,2,true,8517376
8503505,17,54,2,true,8590528
8590292,18,3,2,true,8503505
8578678,17,41,2,true,8590292
8590310,18,23,2,true,8578678
8590306,18,36,2,true,8590310
8590298,19,8,2,true,8590306
8590306,19,8,2,true,8590298
8503011,16,13,3,true,null
8590306,17,30,3,true,8503011
8590310,17,47,3,true,8590306
299301,14,57,6,true,null
8590310,14,39,2,true,null
8590306,17,20,7,false,null
8581711,13,10,1,false,null
8590297,18,24,6,true,null
8590306,14,42,7,false,null
299433,17,12,1,false,null
8591818,10,30,7,false,null
8576304,15,25,7,false,8591818
8503156,16,46,1,false,null
8578678,18,21,1,false,8503156
8590298,16,18,7,false,null
8578914,14,42,1,false,null
8590528,18,13,2,true,null
