@relation users

@attribute stationId {8589009,8507110,8587484,8587485,8587483,8577007,8577005,8577003,8590003,8577004,8577002,8590120,8590021,8590020,8590062,8588989,8590007,8590049,8507060,8590050,8590071,8576646,null,8590113,8590112,8590033,8590032,8507785}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8589009,8507110,8587484,8587485,8587483,8577007,8577005,8577003,8590003,8577004,8577002,8590120,8590021,8590020,8590062,8588989,8590007,8590049,8507060,8590050,8590071,8576646,null,8590113,8590112,8590033,8590032,8507785}
@attribute nextStationId {8589009,8507110,8587484,8587485,8587483,8577007,8577005,8577003,8590003,8577004,8577002,8590120,8590021,8590020,8590062,8588989,8590007,8590049,8507060,8590050,8590071,8576646,null,8590113,8590112,8590033,8590032,8507785}

@data
8577007,0,39,7,false,null,null
8590049,8,11,2,true,null,8590071
8590071,16,55,2,true,8590049,8590049
8590049,17,11,2,true,8590071,8590032
8590032,21,45,2,true,8590049,8577007
8577007,22,27,2,true,8590032,null
8577002,7,57,3,true,null,8590032
8590032,13,20,3,true,8577002,8590113
8590113,22,10,3,true,8590032,8507060
8507060,22,10,3,true,8590113,8590113
8590113,22,11,3,true,8507060,8589009
8589009,22,23,3,true,8590113,8590071
8590071,22,52,3,true,8589009,null
8577007,1,45,4,true,8590071,null
8590120,22,41,5,true,null,8590113
8590113,22,47,5,true,8590120,8588989
8588989,22,52,5,true,8590113,null
8590071,8,22,6,true,null,8590062
8590062,10,15,6,true,8590071,null
8590071,18,56,7,false,null,null
8590032,21,39,2,true,null,null
8590120,13,39,3,true,null,8507110
8507110,17,5,3,true,8590120,8590032
8590032,22,49,3,true,8507110,8590120
8590120,22,50,3,true,8590032,8590032
8590032,22,51,3,true,8590120,null
8590071,15,52,4,true,null,8577007
8577007,17,4,4,true,8590071,null
8590049,7,53,5,true,null,8507110
8507110,7,59,5,true,8590049,8590032
8590032,13,51,5,true,8507110,8590113
8590113,13,55,5,true,8590032,8590032
8590032,23,1,5,true,8590113,null
8577003,10,42,6,true,null,8590007
8590007,10,57,6,true,8577003,8590020
8590020,11,10,6,true,8590007,8590021
8590021,11,10,6,true,8590020,8590020
8590020,11,11,6,true,8590021,8590062
8590062,11,39,6,true,8590020,null
8577007,6,1,1,false,null,8588989
8588989,6,46,1,false,8577007,8590032
8590032,13,58,1,false,8588989,null
8590033,22,24,2,true,null,null
8590020,8,11,3,true,null,8590120
8590120,21,49,3,true,8590020,8590033
8590033,22,0,3,true,8590120,8590112
8590112,22,1,3,true,8590033,8590113
8590113,22,1,3,true,8590112,8507110
8507110,22,3,3,true,8590113,8588989
8588989,22,4,3,true,8507110,null
8590032,13,37,4,true,null,8590021
