@relation users

@attribute stationId {8588860,8588352,8589155,8589154,8592374,8592385,8589161,8577821,null,8592389,8577742,8592379,8577743,8504862,8504631,8504975,8577770}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8588860,8588352,8589155,8589154,8592374,8592385,8589161,8577821,null,8592389,8577742,8592379,8577743,8504862,8504631,8504975,8577770}
@attribute nextStationId {8588860,8588352,8589155,8589154,8592374,8592385,8589161,8577821,null,8592389,8577742,8592379,8577743,8504862,8504631,8504975,8577770}

@data
8592389,14,11,6,true,null,8592374
8592374,14,24,6,true,8592389,null
8504975,12,7,7,false,null,8592374
8592374,13,8,7,false,8504975,8588860
8588860,14,41,7,false,8592374,null
8592374,12,18,1,false,null,null
8504975,15,20,2,true,null,null
8577742,14,3,6,true,null,8592379
8592379,15,50,6,true,8577742,null
8504975,13,5,1,false,null,null
8589161,13,56,3,true,null,null
8592385,15,42,4,true,null,8592374
8592374,15,56,4,true,8592385,null
8504975,12,33,1,false,null,null
8592374,11,32,2,true,null,null
8504975,12,8,1,false,null,8577770
8577770,15,25,1,false,8504975,null
8504975,18,44,3,true,null,null
8592374,14,27,6,true,null,null
8577743,14,2,7,false,null,null
8588352,14,53,6,true,null,null
8577742,9,27,7,false,null,null
8589155,14,46,4,true,null,null
8504975,16,47,7,false,null,null
8592374,14,22,3,true,null,null
8577742,14,28,4,true,null,8592374
8592374,14,44,4,true,8577742,null
8504862,11,56,6,true,null,8504975
8504975,11,57,6,true,8504862,null
8577743,15,37,3,true,null,8504862
8504862,16,36,3,true,8577743,null
8504975,12,13,2,true,null,8577742
8577742,14,5,2,true,8504975,8592374
8592374,14,19,2,true,8577742,8577821
8577821,15,52,2,true,8592374,null
8577742,14,10,4,true,null,8592374
8592374,14,26,4,true,8577742,null
8504975,11,46,1,false,null,8592374
8592374,16,6,1,false,8504975,null
8504862,16,22,3,true,null,null
8577742,12,30,5,true,null,null
8504975,11,43,1,false,null,null
8504631,14,59,4,true,null,null
8504862,12,0,7,false,null,null
8577742,12,24,5,true,null,null
8504631,11,53,7,false,null,null
8592374,14,20,1,false,null,null
8504631,14,43,2,true,null,null
8592389,14,57,4,true,null,8504631
8504631,14,57,4,true,8592389,8592374
8592374,15,14,4,true,8504631,null
8504975,12,45,1,false,null,null
8592374,7,24,2,true,null,null
8504975,12,47,3,true,null,8504631
8504631,12,52,3,true,8504975,null
8504975,12,34,4,true,null,null
8577742,15,9,2,true,null,8592374
8592374,15,59,2,true,8577742,null
8589154,16,11,4,true,null,null
8592379,16,56,2,true,null,null
8592374,16,18,4,true,null,null
8504975,13,46,7,false,null,null
