@relation users

@attribute stationId {8592118,8592913,8592680,8592122,8593015,8592004,8592126,8587914,8587437,8592929,8592888,8592845,8592889,8592802,8592131,8592099,8501008,8592133,8592772,null,8570565,8592773,8592850,8501208,8592775,8501120,8579255,8570084,8592050,8579254,8592095,8593141,8592818,8587387,8592856,8592935,8593158,8595018,8592906,8501181,8504176,8587057,8592903,8593165,8592791,8592036,8592795,8595027,8579238,8579237,8592071,8501026}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8592118,8592913,8592680,8592122,8593015,8592004,8592126,8587914,8587437,8592929,8592888,8592845,8592889,8592802,8592131,8592099,8501008,8592133,8592772,null,8570565,8592773,8592850,8501208,8592775,8501120,8579255,8570084,8592050,8579254,8592095,8593141,8592818,8587387,8592856,8592935,8593158,8595018,8592906,8501181,8504176,8587057,8592903,8593165,8592791,8592036,8592795,8595027,8579238,8579237,8592071,8501026}

@data
8592888,10,41,2,true,null
8501008,10,42,2,true,8592888
8570565,15,43,3,true,null
8592935,16,26,3,true,8570565
8592818,17,44,3,true,8592935
8592845,5,48,5,true,null
8593165,5,51,5,true,8592845
8592889,21,25,5,true,8593165
8592845,6,26,6,true,null
8593165,6,30,6,true,8592845
8592818,20,4,6,true,8593165
8592888,7,51,3,true,null
8501008,7,54,3,true,8592888
8592845,5,53,2,true,null
8592773,20,25,2,true,8592845
8593165,5,46,3,true,null
8501008,20,52,5,true,null
8593158,5,42,6,true,null
8593165,5,45,6,true,8593158
8592906,19,39,3,true,null
8587387,19,49,3,true,8592906
8570084,8,19,5,true,null
8501008,20,25,5,true,8570084
8592050,16,58,1,false,null
8592845,4,21,2,true,null
8593165,4,27,2,true,8592845
8592775,19,30,2,true,8593165
8593165,4,35,3,true,null
8592850,4,50,3,true,8593165
8592095,16,23,3,true,8592850
8587057,17,22,3,true,8592095
8593165,4,25,4,true,null
8592772,21,24,4,true,8593165
8587387,7,38,5,true,null
8593141,8,42,1,false,null
8592050,9,48,1,false,8593141
8592118,17,18,1,false,8592050
8579238,17,20,1,false,8592118
8592929,18,44,1,false,8579238
8593141,4,37,2,true,null
8579238,11,26,2,true,8593141
8592929,20,11,2,true,8579238
8592680,21,3,4,true,null
8592772,21,7,4,true,8592680
8593165,4,52,5,true,null
8593141,7,32,1,false,null
8592772,16,21,1,false,8593141
8592818,16,40,1,false,8592772
8593165,14,3,6,true,null
8592772,18,33,7,false,null
8593165,10,46,1,false,null
8592772,16,25,3,true,null
8593165,5,23,5,true,null
8592772,21,30,5,true,8593165
8593165,4,20,2,true,null
8593141,4,22,3,true,null
8593165,4,12,4,true,null
8592845,5,13,6,true,null
8593165,5,32,6,true,8592845
8592802,19,22,6,true,8593165
8592118,16,47,7,false,null
8579254,18,17,7,false,8592118
8595018,16,33,1,false,null
8593165,18,20,1,false,8595018
8592099,22,41,1,false,8593165
8579254,17,4,2,true,null
8592772,20,29,2,true,8579254
8579237,17,6,3,true,null
8593165,4,29,4,true,null
8501208,17,44,2,true,null
8501181,9,56,3,true,null
8592036,10,31,3,true,8501181
8592929,20,47,1,false,null
8579254,15,48,3,true,null
8593165,4,55,5,true,null
8593158,5,10,6,true,null
8593165,4,45,2,true,null
8592118,19,10,2,true,8593165
8593165,4,25,2,true,8592118
8592772,19,31,2,true,8593165
8592118,9,47,3,true,null
8593165,4,57,6,true,null
8592118,15,55,2,true,null
8592133,18,48,2,true,8592118
8501120,19,2,2,true,8592133
8592818,17,17,4,true,null
8587387,18,29,6,true,null
8587437,18,50,6,true,8587387
8592772,11,33,7,false,null
8592133,15,58,2,true,null
8593165,4,39,5,true,null
8592775,21,47,1,false,null
8592929,22,0,1,false,8592775
8593165,4,22,2,true,null
8593141,4,26,2,true,8593165
8592071,11,46,3,true,null
8593165,16,8,5,true,null
8592929,21,27,2,true,null
8593165,4,23,3,true,null
8592118,14,33,2,true,null
8592122,18,31,2,true,8592118
8593165,9,14,1,false,null
8592071,18,19,1,false,8593165
8593165,4,4,5,true,null
8592772,21,58,6,true,null
8592818,9,37,1,false,null
8592795,20,31,4,true,null
8592772,20,35,4,true,8592795
8593165,4,14,5,true,null
8593141,4,19,5,true,8593165
8593165,5,33,6,true,null
8592772,18,6,6,true,8593165
8593165,15,51,7,false,null
8592122,20,28,3,true,null
8593165,10,25,7,false,null
8595027,10,41,7,false,8593165
8593165,5,48,5,true,null
8593141,5,53,5,true,8593165
8593165,6,3,6,true,null
8579238,15,15,3,true,null
8592050,16,11,3,true,8579238
8593141,17,47,5,true,null
8501181,15,37,1,false,null
8592122,21,20,2,true,null
8592004,21,22,2,true,8592122
8579238,10,31,3,true,null
8593165,6,12,5,true,null
8593141,6,16,5,true,8593165
8592903,13,28,6,true,null
8592772,16,52,6,true,8592903
8501008,16,54,6,true,8592772
8593165,11,10,1,false,null
8579237,9,44,3,true,null
8579255,10,37,3,true,8579237
8592126,10,42,3,true,8579255
8592131,10,47,3,true,8592126
8592118,15,59,3,true,8592131
8501008,11,44,4,true,null
8592856,11,59,4,true,8501008
8501008,16,44,4,true,8592856
8593165,5,39,6,true,null
8593141,5,56,5,true,null
8501008,16,38,5,true,8593141
8593165,17,19,1,false,null
8592845,22,32,6,true,null
8592775,14,12,1,false,null
8592935,14,40,1,false,8592775
8501026,14,41,1,false,8592935
8592775,14,45,1,false,8501026
8592791,15,7,1,false,8592775
8593015,16,14,1,false,8592791
8592913,19,35,1,false,8593015
8592845,2,35,1,false,8592913
8504176,19,56,3,true,null
8593165,5,42,5,true,null
8592126,14,6,3,true,null
8592888,15,53,5,true,null
8587914,16,22,5,true,8592888
8593165,10,59,6,true,null
8593141,6,13,6,true,8593165
8579254,21,47,3,true,null
