@relation users

@attribute stationId {8588858,8591687,8530016,8589269,8530013,8589142,8589164,8589163,8588352,8589143,8589161,8504906,8577742,8577743,8504862,8504881,8504100,8589139,8587255,8589153,8589155,8592374,8577810,null,8577811,8577890,8504975,8504855}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8588858,8591687,8530016,8589269,8530013,8589142,8589164,8589163,8588352,8589143,8589161,8504906,8577742,8577743,8504862,8504881,8504100,8589139,8587255,8589153,8589155,8592374,8577810,null,8577811,8577890,8504975,8504855}

@data
8589161,12,22,2,true,null
8504862,20,41,2,true,8589161
8591687,14,56,5,true,null
8504862,11,10,1,false,null
8577743,22,54,4,true,null
8587255,21,26,5,true,null
8577743,14,6,7,false,null
8504906,11,10,1,false,null
8577890,7,18,1,false,8504906
8504862,19,8,4,true,null
8589269,19,11,6,true,null
8587255,19,27,6,true,8589269
8504862,10,41,1,false,null
8504881,16,40,2,true,null
8504862,6,56,3,true,null
8504881,8,57,3,true,8504862
8504862,14,35,3,true,8504881
8589161,17,18,3,true,8504862
8589139,20,41,3,true,8589161
8589153,18,33,5,true,null
8577743,19,9,5,true,8589153
8504862,7,27,6,true,null
8530013,10,6,6,true,8504862
8504881,10,18,6,true,8530013
8589161,16,21,5,true,null
8589139,21,4,6,true,null
8504862,20,24,1,false,null
8589142,15,55,2,true,null
8589161,15,56,2,true,8589142
8588352,15,23,3,true,null
8504862,20,46,2,true,null
8577810,15,37,5,true,null
8589163,21,18,6,true,null
8589139,21,34,6,true,8589163
8504862,9,24,1,false,null
8589163,21,11,3,true,null
8589161,15,29,5,true,null
8504100,8,22,4,true,null
8589163,21,11,7,false,null
8589139,21,21,7,false,8589163
8589163,22,20,4,true,null
8592374,6,35,1,false,null
8589163,14,3,1,false,8592374
8589161,16,54,2,true,null
8589163,21,31,3,true,null
8589161,16,39,5,true,null
8592374,16,20,6,true,null
8504862,12,47,7,false,null
8504855,8,42,1,false,null
8504862,17,57,1,false,8504855
8589161,15,53,3,true,null
8504862,17,38,4,true,null
8588858,19,34,4,true,8504862
8589161,16,25,5,true,null
8577810,14,56,6,true,null
8589161,17,4,2,true,null
8588352,17,9,3,true,null
8577810,14,57,6,true,null
8504862,15,42,6,true,8577810
8589164,22,19,6,true,8504862
8504862,7,4,7,false,null
8589163,11,48,1,false,null
8504862,17,49,2,true,null
8592374,16,57,5,true,null
8504975,16,34,6,true,null
8592374,18,35,6,true,8504975
8504862,5,37,7,false,null
8592374,16,35,2,true,null
8589161,15,12,4,true,null
8530016,0,46,7,false,null
8504862,10,47,7,false,null
8588352,17,31,7,false,8504862
8592374,17,40,7,false,8588352
8589163,21,19,2,true,null
8589161,16,8,3,true,null
8504862,7,39,7,false,null
8577810,12,28,7,false,8504862
8589143,17,21,7,false,8577810
8592374,17,43,7,false,8589143
8588352,17,48,5,true,null
8577810,15,14,2,true,null
8589155,15,30,4,true,null
8589164,14,8,1,false,null
8588858,16,2,3,true,null
8577810,17,13,6,true,null
8504862,12,21,1,false,null
8577742,13,33,2,true,null
8504881,20,2,4,true,null
8577811,20,3,5,true,null
8504862,13,48,1,false,null
