@relation users

@attribute stationId {8588858,8589148,8504627,8577727,8591994,8577686,8504100,8590142,8504547,8504027,8504622,8579294,8587356,8589138,8504030,8589135,8592887,8589130,8592968,8589177,8589170,8579739,8592374,8595245,null,8504870,8504877,8592050,8504088,8530016,8591766,8530013,8591767,8570078,8592780,8592385,8589161,8592386,8592387,8577789,8577742,8577786,8593116,8577741,8504881,8592060,8594161,8504094,8588343,8588860,8587255,8588341,8589151,8589150,8577775,8504499,8577772,8593282,8504855}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8588858,8589148,8504627,8577727,8591994,8577686,8504100,8590142,8504547,8504027,8504622,8579294,8587356,8589138,8504030,8589135,8592887,8589130,8592968,8589177,8589170,8579739,8592374,8595245,null,8504870,8504877,8592050,8504088,8530016,8591766,8530013,8591767,8570078,8592780,8592385,8589161,8592386,8592387,8577789,8577742,8577786,8593116,8577741,8504881,8592060,8594161,8504094,8588343,8588860,8587255,8588341,8589151,8589150,8577775,8504499,8577772,8593282,8504855}

@data
8577789,21,50,6,true,null
8589151,17,14,7,false,null
8592060,12,41,1,false,null
8591994,15,0,1,false,8592060
8588341,18,26,3,true,null
8589148,21,22,3,true,8588341
8589150,21,23,3,true,8589148
8588343,17,1,4,true,null
8530013,20,8,5,true,null
8592385,15,40,6,true,null
8588341,7,58,7,false,null
8577772,8,37,7,false,8588341
8588341,16,56,5,true,null
8504622,13,41,6,true,null
8587255,14,32,6,true,8504622
8592887,14,27,6,true,8587255
8587356,15,35,3,true,null
8588341,18,37,3,true,8587356
8589151,19,7,4,true,null
8588341,14,53,6,true,null
8592374,16,8,6,true,8588341
8504627,16,15,6,true,8592374
8588341,22,5,7,false,null
8589135,8,55,7,false,8588341
8504881,17,58,7,false,8589135
8589138,20,30,3,true,null
8588341,9,59,4,true,null
8589151,14,49,4,true,8588341
8588341,16,57,4,true,8589151
8589170,10,47,6,true,null
8589130,10,48,6,true,8589170
8588341,16,15,7,false,null
8579739,9,27,7,false,8588341
8588341,18,58,3,true,null
8589170,6,1,4,true,null
8588341,6,6,4,true,8589170
8588343,16,40,4,true,8588341
8591766,10,43,5,true,null
8530016,10,45,5,true,8591766
8588341,18,10,5,true,8530016
8588343,4,55,3,true,null
8588341,4,56,3,true,8588343
8588858,13,40,6,true,null
8588343,4,40,7,false,null
8579294,10,5,4,true,null
8504547,14,1,1,false,null
8595245,14,2,1,false,8504547
8589151,17,37,3,true,null
8588860,19,12,3,true,8589151
8589151,19,31,3,true,8588860
8588341,7,5,5,true,null
8579739,11,2,4,true,null
8504027,14,20,1,false,null
8577775,14,57,1,false,8504027
8589161,10,40,4,true,null
8577742,15,30,7,false,null
8589161,15,24,2,true,null
8593282,13,16,5,true,null
8504094,14,5,5,true,8593282
8577686,14,11,5,true,8504094
8588341,6,13,7,false,null
8570078,17,23,1,false,null
8504877,15,1,5,true,null
8588341,6,47,6,true,null
8579739,4,19,7,false,null
8589161,9,59,3,true,null
8589170,3,32,7,false,null
8588341,4,24,7,false,8589170
8577741,11,5,6,true,null
8587255,17,21,7,false,null
8588341,4,51,2,true,null
8589177,10,27,6,true,null
8504100,13,55,6,true,8589177
8588341,10,55,7,false,null
8579739,18,30,4,true,null
8588341,18,15,6,true,null
8530016,17,51,7,false,null
8592050,17,48,1,false,null
8577786,9,22,4,true,null
8504870,14,22,4,true,8577786
8504499,12,52,5,true,null
8588341,10,52,7,false,null
8594161,8,10,7,false,8588341
8588341,18,4,4,true,null
8589161,10,20,5,true,null
8588341,18,58,4,true,null
8590142,15,31,7,false,null
8592780,15,19,5,true,null
8593116,16,59,5,true,8592780
8592968,18,46,5,true,8593116
8504855,16,3,4,true,null
8588341,5,43,7,false,null
8592374,14,24,7,false,8588341
8588341,15,38,1,false,null
8504030,5,52,2,true,null
8588341,14,13,2,true,8504030
8592386,17,20,6,true,null
8579739,16,13,7,false,null
8592780,17,33,1,false,null
8504100,20,11,1,false,8592780
8592374,15,54,1,false,8504100
8592387,19,13,1,false,8592374
8591767,21,45,7,false,null
8589151,21,6,5,true,null
8589150,19,8,1,false,null
8588341,18,31,5,true,null
8504088,15,24,7,false,null
8577727,15,28,7,false,8504088
