@relation users

@attribute stationId {8587349,7131304,8587348,299180,8591203,8591368,8588078,8591325,8591447,8591326,8591227,8591305,8591349,299364,8591053,8591251,299795,8591296,299137,8591276,8591211,8591332,8591277,8591433,8591257,8591291,8591390,8591292,8591194,8590569,8591236,8591159,8591437,299173,8591339,299330,299078,8591042,299301,8530813,8591264,8591341,299247,8591364,null,8591343,8591246,8591181}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8587349,7131304,8587348,299180,8591203,8591368,8588078,8591325,8591447,8591326,8591227,8591305,8591349,299364,8591053,8591251,299795,8591296,299137,8591276,8591211,8591332,8591277,8591433,8591257,8591291,8591390,8591292,8591194,8590569,8591236,8591159,8591437,299173,8591339,299330,299078,8591042,299301,8530813,8591264,8591341,299247,8591364,null,8591343,8591246,8591181}

@data
7131304,15,31,2,true,null
8530813,19,8,2,true,7131304
8591236,13,30,3,true,null
8591203,13,37,3,true,8591236
8587348,17,35,3,true,8591203
8591368,21,13,3,true,8587348
8588078,8,35,6,true,null
8591181,14,19,6,true,8588078
8591264,14,20,6,true,8591181
8591305,8,26,7,false,null
8591296,8,42,7,false,8591305
8591305,7,42,1,false,null
8591292,8,3,1,false,8591305
8591343,14,39,2,true,null
8591349,15,11,2,true,8591343
8591181,14,52,4,true,null
8590569,16,9,4,true,8591181
8591349,16,12,5,true,null
8591211,20,6,4,true,null
8591368,20,45,4,true,8591211
8591053,12,37,5,true,null
8591325,13,20,6,true,null
8591296,9,23,1,false,null
8587348,20,2,2,true,null
8591181,16,11,4,true,null
8591159,7,12,3,true,null
8591332,18,3,3,true,8591159
8591159,7,16,4,true,null
8591447,17,1,4,true,8591159
8591159,7,18,5,true,null
8591447,11,16,5,true,8591159
8591277,17,18,5,true,8591447
8591447,16,5,6,true,null
8591159,17,53,6,true,8591447
8591292,8,33,7,false,null
8591159,8,30,1,false,null
8591326,8,46,1,false,8591159
8591291,8,55,1,false,8591326
8591277,9,12,1,false,8591291
8591296,7,36,2,true,null
8591251,7,38,2,true,8591296
8591447,16,2,2,true,8591251
8591277,16,13,2,true,8591447
8591305,14,54,3,true,null
8591292,6,44,4,true,null
8591447,15,35,4,true,8591292
8591159,7,17,3,true,null
8591277,17,52,3,true,8591159
8591194,6,27,4,true,null
8591227,11,9,4,true,8591194
8591326,11,23,4,true,8591227
8591159,12,26,4,true,8591326
8591296,12,44,4,true,8591159
8591390,16,20,4,true,8591296
8591181,17,8,4,true,8591390
8591447,9,4,5,true,null
8591305,7,35,6,true,null
8591296,7,52,6,true,8591305
8591277,8,8,6,true,8591296
8587349,9,41,6,true,8591277
8591305,11,10,6,true,8587349
8591194,11,13,6,true,8591305
8591305,14,34,1,false,null
8591042,13,2,4,true,null
8591305,7,31,3,true,null
8591447,10,5,3,true,8591305
8591159,7,31,4,true,null
8591447,13,48,5,true,null
8591292,9,42,1,false,null
8591339,12,40,3,true,null
8591433,12,44,3,true,8591339
8591447,10,59,4,true,null
8591159,13,8,6,true,null
8591181,13,52,7,false,null
8591305,7,26,3,true,null
8591447,13,0,3,true,8591305
8591437,13,22,3,true,8591447
8591447,14,48,4,true,null
8591296,9,33,1,false,null
8591447,10,43,2,true,null
8591276,11,19,2,true,8591447
8591305,7,59,3,true,null
8591159,12,35,3,true,8591305
8591194,7,35,5,true,null
8591305,7,42,5,true,8591194
8591296,8,0,5,true,8591305
8591305,9,1,2,true,null
8591447,15,3,6,true,null
8591181,19,46,6,true,8591447
8591305,8,12,1,false,null
8591326,8,32,1,false,8591305
8591447,13,22,2,true,null
8591305,16,58,4,true,null
8591447,9,37,5,true,null
8591368,19,5,6,true,null
8591305,8,30,1,false,null
8591447,14,6,3,true,null
8591277,11,25,4,true,null
8591447,9,42,6,true,null
8591368,9,54,1,false,null
8591159,8,18,1,false,8591368
8591364,11,0,1,false,8591159
8591181,16,9,2,true,null
8591305,16,10,2,true,8591181
8591181,16,10,2,true,8591305
8591305,17,38,2,true,8591181
8591447,14,25,3,true,null
8591368,16,35,6,true,null
8591305,7,17,1,false,null
8591447,15,42,3,true,null
8591257,18,48,6,true,null
8530813,10,11,1,false,null
8591447,12,39,2,true,null
8591159,7,41,3,true,null
8591341,13,21,4,true,null
8591305,7,34,1,false,null
8591447,9,48,2,true,null
8591305,11,26,2,true,8591447
8591368,14,8,3,true,null
8591364,15,29,3,true,8591368
8591181,12,37,5,true,null
8591305,7,44,1,false,null
8591181,13,15,2,true,null
8591447,16,16,2,true,8591181
299173,9,32,5,true,null
299180,9,34,5,true,299173
8591159,14,11,5,true,299180
8591305,7,3,6,true,null
299180,9,47,6,true,8591305
8591305,8,43,1,false,null
299364,15,52,2,true,null
8591159,9,11,3,true,null
8591246,9,30,3,true,8591159
8591296,9,34,3,true,8591246
299795,7,22,4,true,null
299330,10,31,6,true,null
8591305,6,39,2,true,null
299078,10,36,4,true,null
299137,12,47,2,true,null
299795,15,34,3,true,null
299301,15,34,3,true,299795
299247,16,40,6,true,null
