@relation users

@attribute stationId {8588858,8589138,8588860,8530016,8589269,8589142,8589164,8589155,8587241,8592374,8577812,8589161,8577810,8592376,null,8577811,8592367,8577741,8504100,8504622}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8588858,8589138,8588860,8530016,8589269,8589142,8589164,8589155,8587241,8592374,8577812,8589161,8577810,8592376,null,8577811,8592367,8577741,8504100,8504622}

@data
8588858,19,30,2,true,null
8577810,7,49,3,true,null
8588858,17,22,3,true,8577810
8577810,20,36,3,true,8588858
8589161,20,40,3,true,8577810
8588858,10,19,4,true,null
8592374,12,8,4,true,8588858
8504100,12,11,4,true,8592374
8577810,12,46,4,true,8504100
8588858,19,27,4,true,8577810
8592374,19,43,4,true,8588858
8577810,20,53,4,true,8592374
8588858,6,21,5,true,null
8592374,18,44,5,true,8588858
8577810,20,48,5,true,8592374
8588858,6,29,6,true,null
8589269,8,22,6,true,8588858
8588858,8,58,6,true,8589269
8577810,7,58,4,true,null
8588858,19,42,4,true,8577810
8577810,7,38,5,true,null
8588858,11,57,6,true,null
8577810,9,1,7,false,null
8588858,6,16,3,true,null
8577810,8,9,4,true,null
8588858,11,51,4,true,8577810
8577810,14,23,4,true,8588858
8588858,19,28,4,true,8577810
8577810,9,29,7,false,null
8588858,10,21,7,false,8577810
8577810,8,14,2,true,null
8588858,10,47,2,true,8577810
8577810,7,51,3,true,null
8588858,19,24,3,true,8577810
8592374,21,45,3,true,8588858
8588858,6,28,4,true,null
8577810,21,0,4,true,8588858
8588858,6,24,5,true,null
8592374,6,46,5,true,8588858
8577810,7,52,5,true,8592374
8588858,6,29,6,true,null
8577810,7,56,6,true,8588858
8588858,12,24,6,true,8577810
8577741,19,36,7,false,null
8588858,7,57,1,false,null
8577810,9,33,1,false,8588858
8588858,9,59,1,false,8577810
8588860,15,22,1,false,8588858
8588858,6,48,2,true,null
8577810,9,12,2,true,8588858
8592374,9,56,2,true,8577810
8588860,19,8,2,true,8592374
8592374,19,16,2,true,8588860
8577810,21,5,2,true,8592374
8588858,6,52,3,true,null
8577810,8,38,3,true,8588858
8588858,19,30,5,true,null
8577810,20,49,5,true,8588858
8588858,6,53,6,true,null
8577810,8,58,7,false,null
8588858,20,11,7,false,8577810
8577810,21,3,7,false,8588858
8588858,7,26,1,false,null
8577810,9,28,1,false,8588858
8588858,17,2,1,false,8577810
8577810,9,50,2,true,null
8588858,13,39,2,true,8577810
8577810,20,48,3,true,null
8588858,6,53,4,true,null
8577810,8,38,4,true,8588858
8588858,7,12,5,true,null
8577810,20,13,5,true,8588858
8588858,7,35,7,false,null
8577810,9,40,7,false,8588858
8589142,19,28,3,true,null
8589161,10,57,4,true,null
8588858,17,46,4,true,8589161
8577741,18,24,4,true,8588858
8589142,11,55,6,true,null
8589161,21,30,6,true,8589142
8592367,7,20,7,false,null
8589155,10,19,7,false,8592367
8577812,7,44,1,false,null
8587241,16,4,1,false,8577812
8577810,21,37,1,false,8587241
8577741,18,38,2,true,null
8577810,22,40,2,true,8577741
8592367,12,35,3,true,null
8589142,0,7,4,true,8592367
8589161,16,42,4,true,null
8589164,18,47,4,true,8589161
8592367,18,48,4,true,8589164
8592376,18,51,4,true,8592367
8577810,21,48,5,true,null
8589161,9,18,6,true,null
8577810,21,20,1,false,null
8592367,6,55,3,true,null
8577810,20,40,3,true,8592367
8589142,7,1,4,true,null
8577810,21,29,2,true,null
8589161,11,14,3,true,null
8577810,21,9,3,true,8589161
8592367,6,54,4,true,null
8588858,10,36,4,true,8592367
8589269,11,30,4,true,8588858
8589142,19,43,4,true,8589269
8577810,20,38,4,true,8589142
8589138,11,25,5,true,null
8577810,20,31,5,true,8589138
8589142,6,52,6,true,null
8577810,20,46,2,true,null
8589138,11,8,3,true,null
8577810,21,33,3,true,8589138
8530016,10,16,5,true,null
8577810,12,58,6,true,null
8589138,11,6,3,true,null
8589161,13,11,5,true,null
8592374,13,33,6,true,null
8587241,17,37,7,false,null
8592367,6,40,2,true,null
8577810,21,25,2,true,8592367
8589142,6,49,3,true,null
8592367,12,53,3,true,8589142
8589161,13,4,3,true,8592367
8504622,13,16,3,true,8589161
8592376,19,35,3,true,8504622
8577810,21,56,3,true,8592376
8577811,22,24,3,true,8577810
8589142,6,51,4,true,null
8577810,8,50,5,true,null
8592367,19,36,7,false,null
8577810,21,43,7,false,8592367
8592376,17,10,3,true,null
8592367,17,59,4,true,null
8589161,18,15,4,true,8592367
8577741,19,33,4,true,8589161
8577810,21,45,4,true,8577741
8592367,6,43,5,true,null
8589164,19,24,5,true,8592367
8592367,19,29,5,true,8589164
8577810,20,56,5,true,8592367
8592367,6,51,6,true,null
8577810,21,12,6,true,8592367
