@relation users

@attribute stationId {8588858,8530016,8589269,8587255,8530013,8589155,8588352,8589176,8589154,8589270,8577837,8592374,8589161,8577810,null,8577742,8577784,8504631}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8588858,8530016,8589269,8587255,8530013,8589155,8588352,8589176,8589154,8589270,8577837,8592374,8589161,8577810,null,8577742,8577784,8504631}
@attribute nextStationId {8588858,8530016,8589269,8587255,8530013,8589155,8588352,8589176,8589154,8589270,8577837,8592374,8589161,8577810,null,8577742,8577784,8504631}

@data
8530013,20,56,7,false,null,null
8588858,19,4,2,true,null,null
8588858,18,29,4,true,null,8589269
8589269,19,36,4,true,8588858,8577810
8577810,20,24,4,true,8589269,8589161
8589161,20,26,4,true,8577810,8589155
8589155,20,37,4,true,8589161,8588858
8588858,21,47,4,true,8589155,null
8577810,9,3,5,true,null,8589269
8589269,9,6,5,true,8577810,8588858
8588858,11,24,5,true,8589269,8589269
8589269,20,52,5,true,8588858,8592374
8592374,20,58,5,true,8589269,null
8588858,5,34,6,true,null,8587255
8587255,17,47,6,true,8588858,8588858
8588858,18,13,6,true,8587255,8589155
8589155,18,25,6,true,8588858,8589161
8589161,18,26,6,true,8589155,null
8588858,6,8,7,false,null,8577837
8577837,8,30,7,false,8588858,8530013
8530013,13,38,7,false,8577837,8588352
8588352,13,39,7,false,8530013,8588858
8588858,19,17,7,false,8588352,null
8577810,20,30,2,true,null,8589161
8589161,20,36,2,true,8577810,null
8588858,6,10,3,true,null,8589161
8589161,9,37,3,true,8588858,8577837
8577837,20,20,3,true,8589161,null
8588858,6,11,4,true,null,8589176
8589176,9,27,4,true,8588858,8588858
8588858,11,11,4,true,8589176,8589161
8589161,20,41,4,true,8588858,8588858
8588858,22,11,4,true,8589161,null
8589161,20,34,5,true,null,null
8588858,6,12,6,true,null,8589161
8589161,9,52,6,true,8588858,8588858
8588858,11,53,6,true,8589161,null
8589161,9,17,7,false,null,null
8592374,6,23,1,false,null,null
8588858,6,7,2,true,null,8589269
8589269,12,1,2,true,8588858,8588858
8588858,18,7,2,true,8589269,8589269
8589269,19,58,2,true,8588858,8587255
8587255,19,59,2,true,8589269,8588858
8588858,22,5,2,true,8587255,null
8589161,9,13,3,true,null,8588858
8588858,11,26,3,true,8589161,8587255
8587255,12,1,3,true,8588858,8592374
8592374,12,5,3,true,8587255,8589269
8589269,19,40,3,true,8592374,null
8588858,6,4,4,true,null,8592374
8592374,10,21,4,true,8588858,8588858
8588858,11,10,4,true,8592374,8589161
8589161,12,11,4,true,8588858,8589270
8589270,16,53,4,true,8589161,8530016
8530016,19,37,4,true,8589270,null
8588858,6,12,5,true,null,8589269
8589269,12,36,5,true,8588858,8592374
8592374,13,53,5,true,8589269,8588858
8588858,14,24,5,true,8592374,null
8530016,8,40,6,true,null,8588858
8588858,11,43,6,true,8530016,8589161
8589161,19,51,6,true,8588858,8592374
8592374,19,59,6,true,8589161,null
8588858,19,18,7,false,null,8589161
8589161,20,52,7,false,8588858,8592374
8592374,20,56,7,false,8589161,8589161
8589161,20,56,7,false,8592374,null
8588858,6,22,1,false,null,null
8589161,19,59,2,true,null,8592374
8592374,19,59,2,true,8589161,8588858
8588858,22,9,2,true,8592374,null
8530016,11,15,3,true,null,8588858
8588858,11,16,3,true,8530016,null
8589161,9,16,4,true,null,8588858
8588858,5,40,4,true,8589161,8577810
8577810,19,24,4,true,8588858,null
8588858,5,36,6,true,null,8577742
8577742,11,21,6,true,8588858,8588858
8588858,11,50,6,true,8577742,8577810
8577810,19,26,6,true,8588858,null
8588858,6,0,7,false,null,null
8504631,9,0,4,true,null,8588858
8588858,9,17,4,true,8504631,8589161
8589161,19,49,4,true,8588858,null
8588858,18,24,5,true,null,null
8589269,9,38,6,true,null,8588858
8588858,18,2,6,true,8589269,8589269
8589269,19,31,6,true,8588858,8589161
8589161,19,36,6,true,8589269,null
8588858,6,23,7,false,null,8589161
8589161,7,55,7,false,8588858,8588858
8588858,11,8,7,false,8589161,8589161
8589161,12,18,7,false,8588858,8588858
8588858,13,25,7,false,8589161,8592374
8592374,13,30,7,false,8588858,8577784
8577784,23,47,7,false,8592374,null
8588858,6,23,1,false,null,null
8589161,7,12,2,true,null,8588858
8588858,18,39,2,true,8589161,8589269
8589269,20,22,2,true,8588858,null
8589161,6,56,3,true,null,null
8588858,18,27,4,true,null,null
8589161,19,52,5,true,null,null
8589154,5,35,6,true,null,8589161
8589161,9,16,6,true,8589154,8588858
8588858,10,39,6,true,8589161,8589161
8589161,18,20,6,true,8588858,8577810
8577810,18,27,6,true,8589161,8588858
8588858,18,39,6,true,8577810,8589269
8589269,20,37,6,true,8588858,null
8588858,6,26,7,false,null,8589269
8589269,8,33,7,false,8588858,null
8589161,20,5,2,true,null,8592374
8592374,20,20,2,true,8589161,null
8588858,6,24,3,true,null,8589161
8589161,18,6,3,true,8588858,null
8588858,6,27,4,true,null,8589161
8589161,12,46,4,true,8588858,8592374
8592374,12,51,4,true,8589161,null
