@relation users

@attribute stationId {8576193,8591269,8591028,299161,8591227,8591309,299795,8591350,8591353,299831,8572352,8591277,8591079,299438,299559,8503015,8503499,8503059,299090,8530822,299298,299452,8591240,8506979,8591364,299765,299446,null,8591366,8591322,8591168,8591289,8591367,8591169,299407,299649,299804,8503067,8590033,8503105,8576262,8591282,8587349,8587348,8591368,8588078,8591326,8591447,8591327,8530812,8588990,8591296,299334,299137,8591177,8591299,299613,8591257,8591291,8591292,8590923,8591335,8591415,8591218,8591339,8591418,8591184,8591384,8591066,8500218,8573694,8591067,8591387,8572684,8503003,8573691,8503088,8503446,8503006,8591060}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8576193,8591269,8591028,299161,8591227,8591309,299795,8591350,8591353,299831,8572352,8591277,8591079,299438,299559,8503015,8503499,8503059,299090,8530822,299298,299452,8591240,8506979,8591364,299765,299446,null,8591366,8591322,8591168,8591289,8591367,8591169,299407,299649,299804,8503067,8590033,8503105,8576262,8591282,8587349,8587348,8591368,8588078,8591326,8591447,8591327,8530812,8588990,8591296,299334,299137,8591177,8591299,299613,8591257,8591291,8591292,8590923,8591335,8591415,8591218,8591339,8591418,8591184,8591384,8591066,8500218,8573694,8591067,8591387,8572684,8503003,8573691,8503088,8503446,8503006,8591060}
@attribute nextStationId {8576193,8591269,8591028,299161,8591227,8591309,299795,8591350,8591353,299831,8572352,8591277,8591079,299438,299559,8503015,8503499,8503059,299090,8530822,299298,299452,8591240,8506979,8591364,299765,299446,null,8591366,8591322,8591168,8591289,8591367,8591169,299407,299649,299804,8503067,8590033,8503105,8576262,8591282,8587349,8587348,8591368,8588078,8591326,8591447,8591327,8530812,8588990,8591296,299334,299137,8591177,8591299,299613,8591257,8591291,8591292,8590923,8591335,8591415,8591218,8591339,8591418,8591184,8591384,8591066,8500218,8573694,8591067,8591387,8572684,8503003,8573691,8503088,8503446,8503006,8591060}

@data
8591282,7,32,3,true,null,null
8591291,0,0,7,false,null,null
8591326,15,57,1,false,null,null
8591299,17,10,3,true,null,null
8591257,7,0,2,true,null,8591218
8591218,7,12,2,true,8591257,8591447
8591447,7,14,2,true,8591218,8591415
8591415,15,39,2,true,8591447,8591366
8591366,15,40,2,true,8591415,8591447
8591447,15,52,2,true,8591366,null
8591366,15,41,3,true,null,null
8591277,6,59,4,true,null,null
8591326,16,36,1,false,null,8591291
8591291,16,47,1,false,8591326,null
8591257,6,58,2,true,null,8591447
8591447,7,10,2,true,8591257,null
8591322,6,58,3,true,null,8591277
8591277,7,3,3,true,8591322,8591366
8591366,16,14,3,true,8591277,8591447
8591447,16,22,3,true,8591366,null
8591240,7,59,1,false,null,null
8591292,6,12,3,true,null,8503015
8503015,6,15,3,true,8591292,null
8591066,6,20,5,true,null,null
8591240,6,11,6,true,null,8503003
8503003,16,27,6,true,8591240,8591240
8591240,17,22,6,true,8503003,null
8503015,6,36,2,true,null,8591367
8591367,17,24,2,true,8503015,8591368
8591368,17,25,2,true,8591367,null
8503015,6,24,3,true,null,null
8591292,5,51,2,true,null,null
8591060,16,54,4,true,null,null
8591066,5,54,3,true,null,8591364
8591364,19,43,3,true,8591066,null
8591066,5,45,4,true,null,null
8591335,15,46,5,true,null,8591326
8591326,15,46,5,true,8591335,null
8591257,13,28,7,false,null,null
8591066,6,17,2,true,null,null
8591240,16,54,6,true,null,299090
299090,17,11,6,true,8591240,null
8588990,20,1,7,false,null,null
299407,17,1,1,false,null,null
8591296,18,2,2,true,null,8591291
8591291,18,6,2,true,8591296,null
299298,13,34,7,false,null,8591168
8591168,17,21,7,false,299298,null
299298,19,9,1,false,null,null
8591240,6,22,5,true,null,299298
299298,6,22,5,true,8591240,null
299137,21,28,4,true,null,299804
299804,21,28,4,true,299137,null
8591418,21,20,6,true,null,null
299298,6,56,2,true,null,null
299804,17,38,5,true,null,null
8591418,20,7,6,true,null,null
299804,17,42,2,true,null,null
8591322,17,11,3,true,null,null
299613,15,53,4,true,null,null
299334,5,48,6,true,null,8591418
8591418,20,31,6,true,299334,299649
299649,21,42,6,true,8591418,null
8503105,15,50,3,true,null,null
8591240,11,54,7,false,null,299804
299804,13,26,7,false,8591240,null
299298,19,19,6,true,null,null
299795,16,32,5,true,null,null
299804,3,17,7,false,null,299298
