@relation users

@attribute stationId {8504061,8504182,8588856,8504062,8588859,8588858,8504065,8504063,8589148,8589269,8589147,8589144,8589143,8504625,8589140,8577686,8504100,8587356,8589139,8589138,8504074,8587237,8587238,8589135,8589131,8504913,8504912,8504631,8504634,8504633,8587103,8504086,8589129,8530016,8591766,8591767,8530013,8577818,8577819,8593275,8593276,8593278,8593279,8593556,8577786,8577820,8594248,8577784,8577785,8504881,8577807,8577806,8593285,8577815,8593286,8577779,8577812,8577813,8577810,8577811,8577771,8593280,8577772,8593281,8593282,8504932,8593283,8593284,8588535,8577803,8594781,8577804,8594783,8592365,8570456,8593291,8504027,8504028,8592369,8589175,8589177,8589176,8592373,8595122,8592374,8592375,8570445,null,8595126,8592378,8592379,8592370,8595090,8589168,8591687,8589169,8589164,8588352,8589165,8589160,8592383,8589162,8589161,8577744,8592388,8504607,8577742,8577743,8577741,8592381,8592382,8588347,8582487,8588860,8588343,8589157,8588342,8589159,8588345,8587255,8588344,8589153,8589273,8588341,8589155,8589154,8589272,8577731}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8504061,8504182,8588856,8504062,8588859,8588858,8504065,8504063,8589148,8589269,8589147,8589144,8589143,8504625,8589140,8577686,8504100,8587356,8589139,8589138,8504074,8587237,8587238,8589135,8589131,8504913,8504912,8504631,8504634,8504633,8587103,8504086,8589129,8530016,8591766,8591767,8530013,8577818,8577819,8593275,8593276,8593278,8593279,8593556,8577786,8577820,8594248,8577784,8577785,8504881,8577807,8577806,8593285,8577815,8593286,8577779,8577812,8577813,8577810,8577811,8577771,8593280,8577772,8593281,8593282,8504932,8593283,8593284,8588535,8577803,8594781,8577804,8594783,8592365,8570456,8593291,8504027,8504028,8592369,8589175,8589177,8589176,8592373,8595122,8592374,8592375,8570445,null,8595126,8592378,8592379,8592370,8595090,8589168,8591687,8589169,8589164,8588352,8589165,8589160,8592383,8589162,8589161,8577744,8592388,8504607,8577742,8577743,8577741,8592381,8592382,8588347,8582487,8588860,8588343,8589157,8588342,8589159,8588345,8587255,8588344,8589153,8589273,8588341,8589155,8589154,8589272,8577731}

@data
8504912,11,15,3,true,null
8577818,5,43,4,true,null
8577819,7,25,4,true,8577818
8504100,8,29,4,true,8577819
8577806,8,50,4,true,8504100
8504607,9,10,4,true,8577806
8577806,11,23,4,true,8504607
8504607,11,41,4,true,8577806
8577806,11,53,4,true,8504607
8592382,9,2,6,true,null
8504100,7,49,3,true,null
8577741,8,50,3,true,8504100
8589147,12,15,3,true,8577741
8577819,11,25,4,true,null
8504625,11,25,4,true,8577819
8589140,15,19,6,true,null
8588341,15,32,6,true,8589140
8589159,19,51,6,true,8588341
8577785,20,4,6,true,8589159
8592382,22,35,6,true,8577785
8577811,22,40,6,true,8592382
8504074,13,16,1,false,null
8589160,19,21,1,false,8504074
8577784,15,18,2,true,null
8592373,9,16,6,true,null
8592378,5,33,7,false,null
8589159,6,24,7,false,8592378
8588860,7,15,7,false,8589159
8593283,9,42,1,false,null
8592374,19,35,3,true,null
8589154,14,44,4,true,null
8530016,16,39,4,true,8589154
8588860,19,8,4,true,8530016
8593278,11,52,5,true,null
8504912,12,33,5,true,8593278
8593283,13,36,5,true,8504912
8504634,10,41,6,true,null
8504633,10,48,6,true,8504634
8589168,11,23,6,true,8504633
8589143,11,41,6,true,8589168
8577784,8,20,2,true,null
8504607,9,41,2,true,8577784
8594783,10,27,2,true,8504607
8504061,7,35,3,true,null
8577785,12,19,2,true,null
8592373,6,51,4,true,null
8592379,9,16,4,true,8592373
8577785,10,38,4,true,8592379
8589144,15,3,6,true,null
8592374,19,5,6,true,8589144
8589272,22,23,6,true,8592374
8594781,15,41,1,false,null
8589155,17,41,1,false,8594781
8589153,19,27,1,false,8589155
8577771,19,31,1,false,8589153
8592374,12,43,4,true,null
8592381,13,22,4,true,8592374
8577741,13,35,4,true,8592381
8504100,6,31,3,true,null
8577803,10,13,3,true,8504100
8592381,9,15,4,true,null
8588535,8,2,2,true,null
8592374,5,20,3,true,null
8589154,21,39,6,true,null
8593276,15,46,7,false,null
8504086,15,57,7,false,8593276
8588341,19,3,1,false,null
8592374,19,36,1,false,8588341
8589160,13,55,5,true,null
8589176,16,45,5,true,8589160
8504100,11,16,2,true,null
8589140,18,26,2,true,8504100
8591767,15,33,3,true,null
8592369,18,12,5,true,null
8588856,4,41,3,true,null
8577813,5,12,3,true,8588856
8593556,9,52,4,true,null
8588860,5,6,5,true,null
8589159,6,22,5,true,8588860
8587103,11,32,2,true,null
8588856,15,45,4,true,null
8592379,16,22,4,true,8588856
8588856,16,40,4,true,8592379
8592374,15,0,6,true,null
8593276,5,51,4,true,null
8504913,6,25,4,true,8593276
8593279,6,50,4,true,8504913
8593285,5,11,5,true,null
8593284,10,7,5,true,8593285
8589177,15,2,7,false,null
8530013,16,2,7,false,8589177
8592382,16,50,7,false,8530013
8592373,20,16,7,false,8592382
8592374,20,55,7,false,8592373
8589153,17,57,2,true,null
8592373,12,2,6,true,null
8592375,14,36,6,true,8592373
8592374,18,33,6,true,8592375
8589155,17,53,3,true,null
8589147,10,39,4,true,null
8587356,12,12,4,true,8589147
8592375,11,52,5,true,null
8588342,13,30,5,true,8592375
8587237,10,13,6,true,null
8504065,11,23,6,true,8587237
8593280,14,34,6,true,8504065
8589148,7,15,2,true,null
8592375,8,13,2,true,8589148
8592378,8,14,2,true,8592375
8577785,8,16,2,true,8592378
8589161,8,43,2,true,8577785
8592375,8,49,2,true,8589161
8589140,11,54,2,true,8592375
8589177,13,29,2,true,8589140
8504027,4,35,3,true,null
8592374,5,13,3,true,8504027
8577804,9,14,3,true,8592374
8504881,15,5,3,true,8577804
8504100,6,8,4,true,null
8577785,5,45,5,true,null
8588344,6,13,5,true,8577785
8589140,14,13,5,true,8588344
8588859,14,25,5,true,8589140
8504633,14,25,5,true,8588859
8591767,12,44,2,true,null
8589153,10,59,3,true,null
8588347,11,34,3,true,8589153
8588345,12,6,3,true,8588347
8589159,12,27,3,true,8588345
8588347,14,14,3,true,8589159
8595090,14,29,3,true,8588347
8577786,16,45,3,true,8595090
8577815,17,45,3,true,8577786
8587238,17,59,3,true,8577815
8577742,11,55,4,true,null
8504065,14,0,4,true,8577742
8593281,14,19,4,true,8504065
8504063,15,5,4,true,8593281
8593280,15,42,4,true,8504063
8570445,20,25,1,false,null
8589140,5,0,2,true,null
8589165,6,18,2,true,8589140
8589162,7,43,2,true,8589165
8592373,18,40,2,true,8589162
8588858,18,41,2,true,8592373
8592379,4,40,3,true,null
8592375,8,6,3,true,8592379
8591687,16,43,6,true,null
8592374,21,11,6,true,8591687
8593291,13,22,1,false,null
8593285,14,9,1,false,8593291
8593275,14,9,1,false,8593285
8504912,14,46,1,false,8593275
8589153,5,4,4,true,null
8592374,7,48,4,true,8589153
8589175,9,54,4,true,8592374
8592374,10,56,4,true,8589175
8593286,6,55,5,true,null
8577779,7,45,5,true,8593286
8592374,11,54,6,true,null
8577785,4,33,7,false,null
8592375,4,49,7,false,8577785
8577785,6,0,7,false,8592375
8589175,10,16,7,false,8577785
8592388,10,37,7,false,8589175
8592374,14,45,1,false,null
8589164,9,56,4,true,null
8589177,16,47,2,true,null
8592374,9,40,4,true,null
8577815,16,0,4,true,8592374
8589273,9,34,2,true,null
8593282,10,11,2,true,8589273
8593281,10,16,2,true,8593282
8588342,13,17,5,true,null
8588343,14,27,5,true,8588342
8593282,11,57,6,true,null
8588535,14,30,2,true,null
8592365,15,32,4,true,null
8591767,13,41,5,true,null
8589161,14,1,5,true,8591767
8591766,4,42,3,true,null
8592374,7,29,3,true,8591766
8588344,11,14,3,true,8592374
8592374,11,47,3,true,8588344
8588860,11,4,4,true,null
8504086,9,51,5,true,null
8588859,14,49,1,false,null
8589153,15,6,1,false,8588859
8589157,17,31,1,false,8589153
8592382,18,14,1,false,8589157
8577810,18,40,1,false,8592382
8589160,11,44,6,true,null
8589165,12,37,6,true,8589160
8577744,15,53,6,true,8589165
8504932,16,30,6,true,8577744
8504100,12,6,7,false,null
8577772,12,36,7,false,8504100
8589160,13,0,7,false,8577772
8589169,13,14,7,false,8589160
8591767,16,12,7,false,8589169
8588352,16,51,7,false,8591767
8589153,10,22,1,false,null
8589159,11,29,1,false,8589153
8589153,13,37,1,false,8589159
8588352,14,9,1,false,8589153
8588858,16,21,1,false,8588352
8577741,16,50,1,false,8588858
8588860,4,59,4,true,null
8577812,10,55,4,true,8588860
8577820,11,8,4,true,8577812
8587238,11,46,4,true,8577820
8589169,8,6,5,true,null
8592374,11,3,5,true,8589169
8577785,18,44,2,true,null
8592374,21,35,6,true,null
8594783,11,0,4,true,null
8577807,11,14,4,true,8594783
8594783,11,23,4,true,8577807
8589129,14,55,6,true,null
8589147,19,39,6,true,8589129
8530013,21,53,6,true,8589147
8588352,14,32,7,false,null
8588859,16,42,2,true,null
8589164,6,44,3,true,null
8589177,6,45,3,true,8589164
8504100,3,8,4,true,8589177
8577731,13,27,5,true,null
8593280,15,4,5,true,8577731
8504065,7,45,2,true,null
8587237,8,38,2,true,8504065
8593275,10,34,2,true,8587237
8593285,10,27,3,true,null
8592374,14,28,4,true,null
8591766,16,33,5,true,null
8589140,9,56,6,true,null
8589131,13,42,6,true,8589140
8593279,10,34,3,true,null
8593278,13,21,4,true,null
8577772,8,21,5,true,null
8587238,12,8,5,true,8577772
8504063,9,53,3,true,null
8594783,8,27,4,true,null
8588856,10,3,4,true,8594783
8592374,14,2,7,false,null
8589135,19,43,7,false,8592374
8589143,20,14,7,false,8589135
8589269,17,46,1,false,null
8588860,11,34,5,true,null
8591767,16,39,5,true,8588860
8589269,21,32,6,true,null
8592374,11,28,7,false,null
8577815,6,14,4,true,null
8577819,6,51,4,true,8577815
8577820,7,18,4,true,8577819
8577806,8,41,4,true,8577820
8589175,12,0,4,true,8577806
8588856,12,52,4,true,8589175
8577820,13,22,4,true,8588856
8504631,18,25,6,true,null
8589159,11,33,1,false,null
8588860,13,2,1,false,8589159
8504182,16,43,1,false,8588860
8577743,6,34,6,true,null
8589155,9,6,6,true,8577743
8592374,11,17,6,true,8589155
8589154,17,36,2,true,null
8504028,12,52,3,true,null
8589153,15,36,3,true,8504028
8577786,11,17,5,true,null
8589159,12,3,5,true,8577786
8577785,12,12,5,true,8589159
8589177,15,54,5,true,8577785
8504182,16,28,2,true,null
8589139,13,58,3,true,null
8592374,15,34,4,true,null
8577785,17,21,4,true,8592374
8588860,17,36,4,true,8577785
8592374,10,31,5,true,null
8592383,13,56,6,true,null
8587255,7,51,2,true,null
8592374,12,39,2,true,8587255
8577785,12,46,2,true,8592374
8504625,11,52,4,true,null
8577810,23,8,6,true,null
8593279,15,32,1,false,null
8595126,15,32,1,false,8593279
8595122,15,32,1,false,8595126
8593282,15,38,1,false,8595122
8587255,18,52,1,false,8593282
8589269,18,52,1,false,8587255
8589162,19,32,1,false,8589269
8594783,15,54,2,true,null
8593280,18,50,2,true,8594783
8504881,5,12,3,true,null
8589138,11,24,4,true,null
8592374,19,6,6,true,null
8589154,11,21,4,true,null
8592379,12,30,4,true,8589154
8592383,8,54,5,true,null
8577785,6,25,2,true,null
8592379,8,48,2,true,8577785
8504100,10,40,4,true,null
8592370,22,44,6,true,null
8592369,22,49,6,true,8592370
8577686,12,23,1,false,null
8589153,13,41,3,true,null
8589155,6,24,4,true,null
8582487,11,12,5,true,null
8570456,16,47,7,false,null
8504062,7,27,2,true,null
8595126,11,31,2,true,8504062
8594248,5,34,4,true,null
8589153,8,30,4,true,8594248
8593291,16,24,5,true,null
