@relation users

@attribute stationId {8587349,8590634,8590777,8590633,8588078,8591105,8591327,299580,299385,299734,8590784,8590783,8590782,8591093,8590680,8590627,8590626,8591830,8591379,299293,8591317,8530822,299275,299861,null,8591420,299964,299349,8503201}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8587349,8590634,8590777,8590633,8588078,8591105,8591327,299580,299385,299734,8590784,8590783,8590782,8591093,8590680,8590627,8590626,8591830,8591379,299293,8591317,8530822,299275,299861,null,8591420,299964,299349,8503201}

@data
8590626,15,41,3,true,null
8590634,16,7,3,true,8590626
8590626,16,8,3,true,8590634
8590633,18,38,3,true,8590626
8590627,18,38,3,true,8590633
8591830,18,39,3,true,8590627
8591327,21,35,3,true,8591830
8591830,15,24,6,true,null
8590626,19,1,2,true,null
8591830,19,58,2,true,8590626
8591379,23,28,2,true,8591830
8587349,12,58,3,true,null
8591830,23,11,3,true,8587349
8588078,23,32,5,true,null
8591830,19,58,2,true,null
8591327,12,56,1,false,null
8591830,16,54,3,true,null
8591327,12,58,1,false,null
8590626,15,51,3,true,null
8591420,6,59,7,false,null
8590626,16,54,7,false,8591420
8591830,16,54,7,false,8590626
8590627,3,58,1,false,null
8590782,12,19,7,false,null
8591327,5,2,1,false,null
299293,21,13,2,true,null
8530822,4,49,6,true,null
8591327,13,55,2,true,null
299964,4,58,6,true,null
8591105,4,59,6,true,299964
299580,15,40,6,true,8591105
299964,19,56,2,true,null
299293,6,9,4,true,null
8590784,6,15,4,true,299293
8591327,19,46,4,true,8590784
299293,21,9,7,false,null
299964,14,6,1,false,null
299293,17,41,2,true,null
299964,19,48,6,true,null
8590782,0,47,7,false,299964
299293,6,14,1,false,null
299964,20,4,1,false,299293
8591327,13,52,5,true,null
299293,21,11,6,true,null
8503201,21,25,6,true,299293
8590777,6,27,1,false,null
299385,20,9,7,false,null
299964,19,56,2,true,null
8590783,6,15,1,false,null
299349,6,27,4,true,null
8591327,11,42,6,true,null
299275,17,39,6,true,8591327
299293,21,10,7,false,null
8591327,8,2,6,true,null
299293,3,54,3,true,null
299861,7,26,6,true,null
299734,7,38,6,true,299861
8591093,20,56,6,true,299734
299293,7,39,7,false,null
299861,6,35,7,false,299293
8590680,6,55,7,false,299861
8590782,6,11,1,false,null
8591317,17,54,3,true,null
8590782,6,17,6,true,null
