@relation users

@attribute stationId {8588856,8588858,8589149,8530016,8591687,8589148,8530013,8589164,8589163,8592383,8592285,8592385,8589161,8577329,8577786,8577743,8577784,8504862,8577741,8504881,8589139,8592369,8589135,8587255,8589155,8589177,8589154,8589176,8577837,8592373,8592374,8593684,8572964,8577810,null,8504631}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8588856,8588858,8589149,8530016,8591687,8589148,8530013,8589164,8589163,8592383,8592285,8592385,8589161,8577329,8577786,8577743,8577784,8504862,8577741,8504881,8589139,8592369,8589135,8587255,8589155,8589177,8589154,8589176,8577837,8592373,8592374,8593684,8572964,8577810,null,8504631}
@attribute nextStationId {8588856,8588858,8589149,8530016,8591687,8589148,8530013,8589164,8589163,8592383,8592285,8592385,8589161,8577329,8577786,8577743,8577784,8504862,8577741,8504881,8589139,8592369,8589135,8587255,8589155,8589177,8589154,8589176,8577837,8592373,8592374,8593684,8572964,8577810,null,8504631}

@data
8504862,16,47,5,true,null,null
8577743,4,48,6,true,null,8504862
8504862,4,48,6,true,8577743,null
8530013,14,28,2,true,null,8577810
8577810,14,28,2,true,8530013,8589161
8589161,14,30,2,true,8577810,8592374
8592374,14,39,2,true,8589161,8504862
8504862,16,23,2,true,8592374,null
8592374,9,44,3,true,null,8577741
8577741,9,50,3,true,8592374,8504862
8504862,21,59,3,true,8577741,null
8589155,15,52,4,true,null,8504862
8504862,20,1,4,true,8589155,null
8530013,18,37,5,true,null,8589161
8589161,18,37,5,true,8530013,null
8589155,4,54,6,true,null,null
8577743,19,1,1,false,null,null
8589155,15,5,2,true,null,8577743
8577743,15,35,2,true,8589155,null
8504862,4,57,3,true,null,8577810
8577810,9,43,3,true,8504862,8587255
8587255,9,44,3,true,8577810,8504862
8504862,14,59,3,true,8587255,null
8592374,13,29,5,true,null,8589161
8589161,18,22,5,true,8592374,8587255
8587255,18,26,5,true,8589161,8592374
8592374,18,27,5,true,8587255,null
8592383,12,47,6,true,null,8577810
8577810,14,17,6,true,8592383,8530013
8530013,14,19,6,true,8577810,null
8589161,9,48,2,true,null,8592374
8592374,11,26,2,true,8589161,null
8577743,13,10,4,true,null,8577784
8577784,17,10,4,true,8577743,8592369
8592369,20,14,4,true,8577784,8588856
8588856,20,52,4,true,8592369,null
8592374,17,23,5,true,null,8577784
8577784,17,32,5,true,8592374,8577743
8577743,18,58,5,true,8577784,8504862
8504862,20,0,5,true,8577743,null
8587255,14,19,6,true,null,8577810
8577810,14,22,6,true,8587255,8587255
8587255,14,23,6,true,8577810,8577810
8577810,14,23,6,true,8587255,null
8504862,10,26,1,false,null,null
8577810,15,16,2,true,null,8592374
8592374,15,17,2,true,8577810,8577810
8577810,15,23,2,true,8592374,null
8587255,10,0,3,true,null,8577837
8577837,18,9,3,true,8587255,8592374
8592374,18,39,3,true,8577837,null
8504862,4,14,4,true,null,8530013
8530013,15,6,4,true,8504862,8592374
8592374,15,7,4,true,8530013,8589155
8589155,15,37,4,true,8592374,8588858
8588858,15,37,4,true,8589155,8592373
8592373,15,40,4,true,8588858,null
8592374,4,34,7,false,null,null
8530013,9,34,1,false,null,null
8587255,19,16,5,true,null,null
8589155,4,7,6,true,null,8592374
8592374,4,42,6,true,8589155,8592383
8592383,17,58,6,true,8592374,8504862
8504862,20,22,6,true,8592383,null
8577743,20,20,3,true,null,null
8589155,5,9,2,true,null,8588858
8588858,10,59,2,true,8589155,8592374
8592374,11,3,2,true,8588858,8577743
8577743,13,29,2,true,8592374,8587255
8587255,18,56,2,true,8577743,null
8588858,15,29,5,true,null,null
8587255,9,44,6,true,null,8588858
8588858,9,55,6,true,8587255,8504862
8504862,12,44,6,true,8588858,8587255
8587255,18,46,6,true,8504862,null
8589155,6,53,7,false,null,null
8588858,15,19,2,true,null,8589155
8589155,15,43,2,true,8588858,null
8577743,4,47,3,true,null,8504862
8504862,4,50,3,true,8577743,8530013
8530013,15,51,3,true,8504862,8587255
8587255,15,53,3,true,8530013,null
8589155,7,32,4,true,null,8588858
8588858,7,59,4,true,8589155,8592374
8592374,16,32,4,true,8588858,8588858
8588858,16,35,4,true,8592374,null
8504862,5,0,6,true,null,8587255
8587255,18,34,6,true,8504862,8504862
8504862,20,53,6,true,8587255,null
8587255,18,36,7,false,null,null
8504862,3,52,1,false,null,8592383
8592383,17,52,1,false,null,null
8504862,4,48,3,true,null,null
8589155,4,50,4,true,null,null
8588858,4,46,5,true,null,8530013
8530013,16,21,5,true,8588858,8577810
8577810,16,22,5,true,8530013,8587255
8587255,16,24,5,true,8577810,8504881
8504881,16,32,5,true,8587255,null
8504862,4,1,6,true,null,8592383
8592383,9,40,6,true,8504862,null
8592285,15,55,7,false,null,null
8587255,18,34,2,true,null,null
8589155,4,57,3,true,null,null
8587255,10,7,5,true,null,8504881
8504881,11,31,5,true,8587255,null
8589155,4,55,7,false,null,8587255
8587255,14,32,7,false,8589155,null
8577810,9,47,1,false,null,8588858
8588858,9,53,1,false,8577810,null
8587255,9,39,2,true,null,8504862
8504862,13,26,2,true,8587255,null
8589155,6,5,4,true,null,8588858
8588858,6,21,4,true,8589155,null
8589155,4,34,6,true,null,8588858
8588858,13,20,6,true,8589155,8530016
8530016,18,33,6,true,8588858,8577810
8577810,18,33,6,true,8530016,8588858
8588858,18,40,6,true,8577810,null
8589161,9,44,1,false,null,8588858
8588858,9,46,1,false,8589161,8504862
8504862,12,27,1,false,8588858,null
8589161,14,25,3,true,null,8577810
8577810,14,28,3,true,8589161,8588858
8588858,14,32,3,true,8577810,8589155
8589155,20,51,3,true,8588858,null
8589161,10,4,4,true,null,8504862
8504862,12,40,4,true,8589161,8588858
8588858,18,54,4,true,8504862,null
8504862,18,39,6,true,null,8592373
8592373,18,51,6,true,8504862,null
8504862,5,28,2,true,null,null
8589155,3,52,6,true,null,8577810
8577810,11,52,6,true,null,null
8504862,4,32,3,true,null,null
8589155,11,10,4,true,null,8592374
8592374,13,42,4,true,8589155,null
8504862,16,0,5,true,null,null
8577786,6,32,2,true,null,null
8589135,12,11,5,true,null,null
8591687,9,46,6,true,null,8589155
8589155,11,45,6,true,8591687,null
8504862,6,10,1,false,null,null
8589155,17,53,6,true,null,null
8504862,17,35,2,true,null,null
8589155,5,53,6,true,null,8504862
8504862,15,35,6,true,8589155,null
8504631,13,22,3,true,null,null
8589155,7,44,6,true,null,null
8589139,16,8,1,false,null,null
8504862,15,36,2,true,null,8592374
8592374,19,56,2,true,8504862,null
8504862,8,3,3,true,null,8589154
8589154,8,14,3,true,8504862,8589155
8589155,8,19,3,true,8589154,8592383
8592383,9,8,3,true,8589155,8572964
8572964,13,45,3,true,8592383,8577329
8577329,14,43,3,true,8572964,null
8504862,8,30,4,true,null,null
8589164,19,23,2,true,null,8589155
8589155,19,28,2,true,8589164,null
8504862,6,20,4,true,null,8577810
8577810,10,49,4,true,8504862,8588858
8588858,11,11,4,true,8577810,null
8504862,14,26,2,true,null,8588858
8588858,20,35,2,true,8504862,8589155
8589155,20,38,2,true,8588858,null
8504862,6,24,5,true,null,8589155
8589155,15,55,5,true,8504862,null
8588858,11,9,7,false,null,8589155
8589155,11,56,7,false,8588858,8504862
8504862,15,58,7,false,8589155,null
8588858,14,49,4,true,null,8589155
8589155,14,57,4,true,8588858,8504862
8504862,17,9,4,true,8589155,null
8589155,7,13,5,true,null,null
8504862,8,10,7,false,null,null
8589155,19,35,2,true,null,8588858
8588858,19,43,2,true,8589155,null
8504862,8,25,3,true,null,8589154
8589154,8,47,3,true,8504862,8592374
8592374,12,13,3,true,8589154,8588858
8588858,12,56,3,true,8592374,8504862
8504862,9,41,3,true,8588858,8589149
8589149,10,31,3,true,8504862,8589148
8589148,10,32,3,true,8589149,8577741
8577741,10,33,3,true,8589148,8588858
8588858,14,45,3,true,8577741,null
8589161,10,36,5,true,null,null
8504862,18,39,6,true,null,null
8592385,15,24,1,false,null,null
8577743,17,0,4,true,null,null
8504862,16,38,6,true,null,null
8589155,7,23,1,false,null,null
8504862,14,1,2,true,null,8589155
8589155,16,49,2,true,8504862,null
8504862,8,44,4,true,null,8589176
8589176,13,8,4,true,8504862,8504862
8504862,16,4,4,true,8589176,null
8589155,5,59,5,true,null,null
8504862,6,52,6,true,null,null
8589155,6,6,5,true,null,null
8504862,18,25,3,true,null,null
8589161,14,29,4,true,null,null
8504862,14,59,6,true,null,null
8592374,12,31,7,false,null,8589155
8589155,6,47,7,false,8592374,null
8588858,5,47,5,true,null,null
8504862,8,54,3,true,null,null
8589155,7,52,7,false,null,null
8504862,8,33,5,true,null,8589155
8589155,12,24,5,true,8504862,null
8504862,13,40,2,true,null,8592374
8592374,20,19,2,true,8504862,null
8504862,15,42,6,true,null,null
8589155,17,7,5,true,null,8588858
8588858,17,13,5,true,8589155,null
8592374,12,51,7,false,null,null
8589155,5,43,5,true,null,8589177
8589177,11,27,5,true,8589155,8589163
8589163,11,34,5,true,8589177,null
8504862,7,56,2,true,null,null
8589155,11,46,7,false,null,null
8504862,18,8,1,false,null,null
8588858,12,20,7,false,null,8504862
8504862,16,21,7,false,8588858,8589154
8589154,21,38,7,false,8504862,8504631
8504631,9,27,7,false,8589154,null
8504862,4,4,4,true,null,null
8587255,21,19,6,true,null,null
8504862,8,31,7,false,null,8589155
8589155,18,18,7,false,8504862,null
8504862,11,18,2,true,null,null
8588858,10,57,3,true,null,8504862
8504862,13,38,3,true,8588858,8589161
8589161,16,0,3,true,8504862,null
8504862,11,23,7,false,null,null
8593684,12,45,1,false,null,null
