@relation users

@attribute stationId {8502282,8587742,8502281,8587260,8588690,8587285,8502206,8502788,8593398,8577206,8593457,8516187,8502781,8502286,8502780,8581534,8502862,8502202,8577582,8502300,8502203,8587515,8587516,8502291,8588622,8587557,8589671,null,8593443,8577577,8502792,8577576,8502694,8577530,8573055,8502972,8502850,8502798,8587708}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8502282,8587742,8502281,8587260,8588690,8587285,8502206,8502788,8593398,8577206,8593457,8516187,8502781,8502286,8502780,8581534,8502862,8502202,8577582,8502300,8502203,8587515,8587516,8502291,8588622,8587557,8589671,null,8593443,8577577,8502792,8577576,8502694,8577530,8573055,8502972,8502850,8502798,8587708}

@data
8502798,10,21,4,true,null
8593443,11,57,4,true,8502798
8588622,12,19,4,true,8593443
8502203,14,44,4,true,8588622
8587285,14,55,4,true,8502203
8589671,22,34,4,true,8587285
8593443,6,7,5,true,null
8502300,15,27,5,true,8593443
8587742,15,46,5,true,8502300
8589671,0,5,7,false,null
8502206,13,37,2,true,null
8502781,15,31,2,true,8502206
8587708,7,41,3,true,null
8502206,10,6,3,true,8587708
8502792,10,32,3,true,8502206
8502282,10,34,3,true,8502792
8587708,11,20,3,true,8502282
8577577,13,41,3,true,8587708
8593443,5,12,4,true,null
8587742,5,35,4,true,8593443
8502972,7,6,4,true,8587742
8593398,7,57,4,true,8502972
8587516,11,22,4,true,8593398
8502850,11,26,4,true,8587516
8502780,8,34,6,true,null
8502862,10,10,6,true,8502780
8593443,8,50,7,false,null
8502291,11,8,7,false,8593443
8502281,11,19,7,false,8502291
8502781,11,34,7,false,8502281
8587742,12,41,7,false,8502781
8581534,13,4,7,false,8587742
8502694,13,12,7,false,8581534
8502788,13,36,7,false,8502694
8502286,6,54,3,true,null
8516187,13,10,3,true,8502286
8587515,14,8,3,true,8516187
8589671,20,24,7,false,null
8577576,8,8,2,true,null
8588690,8,42,2,true,8577576
8587260,8,57,2,true,8588690
8502202,9,46,2,true,8587260
8587557,10,10,2,true,8502202
8577206,10,13,2,true,8587557
8502202,14,46,2,true,8577206
8502286,7,15,3,true,null
8593443,12,16,3,true,8502286
8502206,9,14,4,true,null
8502850,11,36,4,true,8502206
8577582,11,54,4,true,8502850
8577530,8,29,5,true,null
8573055,14,12,6,true,null
8589671,13,15,7,false,null
8593457,12,1,2,true,null
8502781,12,40,3,true,null
8502972,7,9,4,true,null
