@relation users

@attribute stationId {8589149,8570514,8588344,8589131,8592383,8592372,8592374,8573205,8592385,8592022,8593155,null,8504014,8577003,8504100,8504128}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8589149,8570514,8588344,8589131,8592383,8592372,8592374,8573205,8592385,8592022,8593155,null,8504014,8577003,8504100,8504128}

@data
8592383,6,52,2,true,null
8504100,7,18,3,true,null
8592383,7,1,4,true,null
8504100,12,20,5,true,null
8592383,6,43,6,true,null
8589131,15,48,2,true,null
8592383,6,53,3,true,null
8504128,20,37,4,true,null
8592383,6,57,5,true,null
8592374,7,34,5,true,8592383
8592383,6,44,6,true,null
8592374,7,11,6,true,8592383
8588344,17,8,2,true,null
8592383,7,8,3,true,null
8592374,7,31,3,true,8592383
8592383,7,10,5,true,null
8589131,15,30,6,true,null
8592383,12,22,7,false,null
8592374,7,34,6,true,null
8592383,7,5,2,true,null
8592374,7,34,5,true,null
8592383,19,20,5,true,8592374
8589149,23,35,7,false,null
8592383,7,1,2,true,null
8589131,16,12,2,true,8592383
8592383,7,14,3,true,null
8592374,7,30,3,true,8592383
8592383,7,6,4,true,null
8592374,7,34,4,true,8592383
8592383,6,58,5,true,null
8592374,7,18,5,true,8592383
8592383,6,57,6,true,null
8592374,7,12,6,true,8592383
8589131,16,39,6,true,8592374
8592383,11,31,7,false,null
8573205,19,8,4,true,null
8592383,7,8,5,true,null
8589131,15,48,5,true,8592383
8592374,6,56,6,true,null
8592383,10,28,7,false,null
8588344,16,57,3,true,null
8592383,6,39,4,true,null
8592374,6,56,4,true,8592383
8592383,6,35,5,true,null
8592374,6,56,5,true,8592383
8592383,7,1,6,true,null
8589131,16,43,6,true,8592383
8504100,17,2,6,true,8589131
8592383,18,20,6,true,8504100
8504100,12,29,2,true,null
8592374,6,58,3,true,null
8592383,6,51,4,true,null
8592374,6,59,4,true,8592383
8589131,16,24,4,true,8592374
8592383,6,50,5,true,null
8592374,7,15,5,true,8592383
8589131,15,46,5,true,8592374
8592374,6,58,6,true,null
8589131,16,18,6,true,8592374
8592383,6,33,2,true,null
8589131,15,36,2,true,8592383
8592383,6,45,3,true,null
8592374,7,18,3,true,8592383
8588344,16,24,3,true,8592374
8592383,6,59,4,true,null
8592374,7,14,5,true,null
8588344,16,41,5,true,8592374
8592374,16,53,5,true,8588344
8592383,7,0,6,true,null
8588344,16,9,2,true,null
8592383,5,22,3,true,null
8592374,5,44,3,true,8592383
8589131,14,16,3,true,8592374
8592383,5,30,4,true,null
8592374,5,56,5,true,null
8589131,15,34,5,true,8592374
8592383,5,23,6,true,null
8592374,5,42,6,true,8592383
8589131,14,27,6,true,8592374
8592383,11,12,7,false,null
8504100,14,20,7,false,8592383
8592383,5,41,2,true,null
8592374,5,58,3,true,null
8589131,14,10,3,true,8592374
8592383,5,42,4,true,null
8592374,6,16,4,true,8592383
8589131,15,12,4,true,8592374
8592383,5,31,5,true,null
8504100,14,18,7,false,null
8592374,14,25,7,false,8504100
8592383,5,45,3,true,null
8589131,14,48,3,true,8592383
8592383,15,43,3,true,8589131
8592374,6,14,4,true,null
8592383,6,1,5,true,null
8592374,6,13,5,true,8592383
8589131,14,54,5,true,8592374
8592383,5,36,6,true,null
8589131,14,52,6,true,8592383
8592383,13,0,7,false,null
8592374,6,1,2,true,null
8589131,16,3,2,true,8592374
8592374,5,58,3,true,null
8592383,15,44,3,true,8592374
8589131,14,54,4,true,null
8592383,5,53,5,true,null
8589131,17,18,5,true,8592383
8592383,5,57,6,true,null
8589131,15,2,6,true,8592383
8592383,7,56,1,false,null
8592374,6,20,3,true,null
8589131,14,48,3,true,8592374
8592374,6,19,3,true,8589131
8592383,16,22,3,true,8592374
8592374,5,57,4,true,null
8592383,6,41,6,true,null
8592374,7,3,6,true,8592383
8592383,5,44,3,true,null
8592374,6,18,3,true,8592383
8592383,6,8,6,true,null
8504014,9,49,7,false,null
8592374,6,6,3,true,null
8589131,11,54,4,true,null
8504100,12,27,4,true,8589131
8577003,13,57,5,true,null
8592383,8,56,1,false,null
8592374,5,41,3,true,null
8589131,10,42,3,true,8592374
8592383,5,33,4,true,null
8589131,15,10,5,true,null
8592383,5,43,6,true,null
8592374,6,16,6,true,8592383
8589131,14,18,6,true,8592374
8592383,15,19,6,true,8589131
8592374,6,1,4,true,null
8589131,11,41,4,true,8592374
8592374,12,22,4,true,8589131
8589131,15,40,5,true,null
8504100,16,24,5,true,8589131
8592383,10,18,7,false,null
8589131,15,53,2,true,null
8592374,5,56,3,true,null
8592383,18,7,7,false,null
8592374,5,42,2,true,null
8589131,15,42,2,true,8592374
8592383,5,48,3,true,null
8589131,15,51,3,true,8592383
8592383,5,48,4,true,null
8588344,17,34,6,true,null
8592383,5,55,3,true,null
8589131,15,17,3,true,8592383
8588344,16,5,5,true,null
8592374,6,11,3,true,null
8589131,15,1,3,true,8592374
8592383,5,20,4,true,null
8589131,15,14,6,true,null
8592383,12,10,7,false,null
8592372,19,16,3,true,null
8592383,18,31,4,true,null
8592385,16,45,6,true,null
8592383,18,25,6,true,8592385
8592374,5,46,2,true,null
8589131,14,39,2,true,8592374
8592383,5,48,3,true,null
8592374,6,1,3,true,8592383
8592383,5,51,4,true,null
8592374,5,31,5,true,null
8592383,5,20,6,true,null
8592374,5,28,6,true,8592383
8589131,15,19,6,true,8592374
8592022,18,20,1,false,null
8592383,5,28,2,true,null
8589131,14,27,2,true,8592383
8592383,5,54,3,true,null
8592374,6,17,3,true,8592383
8589131,15,1,3,true,8592374
8592383,16,24,3,true,8589131
8589131,14,9,5,true,null
8592383,10,15,7,false,null
8592374,10,57,7,false,8592383
8592383,5,42,2,true,null
8589131,14,56,2,true,8592383
8592383,10,52,3,true,null
8592372,18,25,7,false,null
8588344,15,30,3,true,null
8592374,5,51,4,true,null
