@relation users

@attribute stationId {8592116,8593249,8530749,8592044,8579748,8592244,8592047,8592082,8592040,8501037,8592609,8592249,8588443,8570089,8592251,8592010,8592252,8592132,8592253,8501008,8592134,8592255,null,8570961,8592257,8592213,8501120,8501045,8501122,8501047,8570084,8592050,8579254,8592172,8579253,8589248,8588874,8589247,8592218,8592262,8592020,8592263,8595215,8592102,8592103,8592269,8580545,8592261,8504011,8501181,8588943,8592105,8591930,8592108,8591935,8592274,8592276,8592111,8570069,8579234,8501500,8592271,8579230}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8592116,8593249,8530749,8592044,8579748,8592244,8592047,8592082,8592040,8501037,8592609,8592249,8588443,8570089,8592251,8592010,8592252,8592132,8592253,8501008,8592134,8592255,null,8570961,8592257,8592213,8501120,8501045,8501122,8501047,8570084,8592050,8579254,8592172,8579253,8589248,8588874,8589247,8592218,8592262,8592020,8592263,8595215,8592102,8592103,8592269,8580545,8592261,8504011,8501181,8588943,8592105,8591930,8592108,8591935,8592274,8592276,8592111,8570069,8579234,8501500,8592271,8579230}
@attribute nextStationId {8592116,8593249,8530749,8592044,8579748,8592244,8592047,8592082,8592040,8501037,8592609,8592249,8588443,8570089,8592251,8592010,8592252,8592132,8592253,8501008,8592134,8592255,null,8570961,8592257,8592213,8501120,8501045,8501122,8501047,8570084,8592050,8579254,8592172,8579253,8589248,8588874,8589247,8592218,8592262,8592020,8592263,8595215,8592102,8592103,8592269,8580545,8592261,8504011,8501181,8588943,8592105,8591930,8592108,8591935,8592274,8592276,8592111,8570069,8579234,8501500,8592271,8579230}

@data
8592257,21,47,6,true,null,null
8592261,10,7,7,false,null,8592257
8592257,22,21,7,false,8592261,null
8570084,15,12,5,true,null,null
8501500,14,40,7,false,null,8591930
8591930,16,22,7,false,8501500,8589248
8589248,16,35,7,false,8591930,8592262
8592262,16,54,7,false,8589248,null
8592010,15,49,2,true,null,8592262
8592262,16,59,2,true,8592010,null
8592132,11,1,4,true,null,null
8592257,19,45,6,true,null,null
8504011,20,18,1,false,null,8592040
8592040,20,44,1,false,8504011,8588874
8588874,20,55,1,false,8592040,8592253
8592253,20,55,1,false,8588874,8592274
8592274,20,56,1,false,8592253,8501037
8501037,20,57,1,false,8592274,null
8579230,17,22,2,true,null,null
8592134,16,24,5,true,null,8592050
8592050,16,25,5,true,8592134,null
8501181,15,47,6,true,null,null
8592105,17,21,7,false,null,8591935
8591935,17,23,7,false,8592105,8592244
8592244,17,24,7,false,8591935,8501045
8501045,17,24,7,false,8592244,8592274
8592274,17,26,7,false,8501045,8501037
8501037,17,26,7,false,8592274,8592257
8592257,6,19,7,false,8501037,null
8592132,15,36,6,true,null,null
8592172,14,36,7,false,null,null
8592257,5,22,4,true,null,null
8592116,15,47,6,true,null,null
8579234,14,14,3,true,null,null
8592257,14,33,5,true,null,null
8588443,19,33,6,true,null,null
8592257,8,21,7,false,null,8592262
8592262,9,59,7,false,8592257,null
8592020,16,26,4,true,null,8592108
8592108,16,35,4,true,8592020,null
8593249,17,41,2,true,null,null
8570089,10,32,4,true,null,8589247
8589247,14,21,4,true,8570089,null
8579254,13,34,3,true,null,null
8592257,12,29,4,true,null,null
8592040,14,53,2,true,null,null
8592257,17,52,4,true,null,null
8592116,14,36,6,true,null,null
8592040,15,11,5,true,null,8592249
8592249,15,25,5,true,8592040,8592251
8592251,15,25,5,true,8592249,8592252
8592252,15,26,5,true,8592251,8592274
8592274,15,26,5,true,8592252,8592263
8592263,15,26,5,true,8592274,8592276
8592276,15,27,5,true,8592263,8592257
8592257,15,27,5,true,8592276,null
8592082,14,35,6,true,null,null
