@relation users

@attribute stationId {8504281,8588349,8589129,8591687,8589135,8530016,8587255,8530013,8589158,8589169,8589163,8588352,8570551,8589170,8592374,8589161,8504609,null,8577742,8504634,8504975,8592393}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8504281,8588349,8589129,8591687,8589135,8530016,8587255,8530013,8589158,8589169,8589163,8588352,8570551,8589170,8592374,8589161,8504609,null,8577742,8504634,8504975,8592393}

@data
8589129,16,46,6,true,null
8591687,11,17,7,false,null
8588352,19,15,7,false,8591687
8591687,6,56,4,true,null
8504634,17,52,6,true,null
8589129,17,58,6,true,8504634
8591687,16,12,4,true,null
8589129,11,4,7,false,null
8591687,17,15,5,true,null
8589129,17,22,5,true,8591687
8587255,18,32,5,true,8589129
8504634,10,15,4,true,null
8589129,20,14,7,false,null
8577742,10,58,1,false,null
8589129,10,58,1,false,8577742
8589135,11,10,1,false,8589129
8592374,11,28,1,false,8589135
8589129,14,33,7,false,null
8589163,17,31,7,false,8589129
8589129,7,59,4,true,null
8591687,13,14,4,true,8589129
8530013,14,27,4,true,8591687
8589161,14,30,4,true,8530013
8589158,12,57,5,true,null
8592393,18,0,4,true,null
8589169,18,33,4,true,8592393
8591687,8,25,3,true,null
8504281,12,42,7,false,null
8504609,17,19,7,false,8504281
8592393,11,33,1,false,null
8589129,12,3,1,false,8592393
8592393,11,57,6,true,null
8589170,18,27,6,true,8592393
8592374,21,3,6,true,8589170
8589129,5,59,7,false,null
8504634,8,0,7,false,8589129
8589161,8,11,7,false,8504634
8591687,18,6,6,true,null
8530016,21,16,6,true,8591687
8591687,10,0,4,true,null
8570551,19,55,7,false,null
8591687,14,13,1,false,null
8589129,17,28,3,true,null
8591687,18,16,5,true,null
8588349,10,46,2,true,null
8591687,17,56,6,true,null
8592374,9,29,4,true,null
8592393,11,36,3,true,null
8591687,12,5,3,true,8592393
8592374,12,20,3,true,8591687
8504975,19,38,4,true,null
8591687,17,21,6,true,null
8589129,7,11,7,false,null
8577742,9,33,7,false,8589129
8504975,9,34,7,false,8577742
8504634,10,41,7,false,8504975
8504609,15,0,7,false,8504634
8591687,20,43,3,true,null
8592393,18,35,7,false,null
