@relation users

@attribute stationId {8588858,8589149,8587841,8589148,8504108,8577725,8578778,8504862,8504100,8576393,8589336,8504350,8589135,8589176,8589170,8592374,null,8577234,8504631,8504117,8593349,8588990,8576408,8588352,8593275,8592385,8589161,8577742,8577149,8504883,8577784,8577741,8587619,8587613,8588988,8582002,8588860,8589157,8588342,8589475,8589159,8587255,8508050,8589670,8589153,8589155,8589154,8589671,8592473,8576646,8577812,8577810,8504975,8588819}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8588858,8589149,8587841,8589148,8504108,8577725,8578778,8504862,8504100,8576393,8589336,8504350,8589135,8589176,8589170,8592374,null,8577234,8504631,8504117,8593349,8588990,8576408,8588352,8593275,8592385,8589161,8577742,8577149,8504883,8577784,8577741,8587619,8587613,8588988,8582002,8588860,8589157,8588342,8589475,8589159,8587255,8508050,8589670,8589153,8589155,8589154,8589671,8592473,8576646,8577812,8577810,8504975,8588819}

@data
8589149,13,3,1,false,null
8577234,15,13,1,false,8589149
8589149,5,19,3,true,null
8588860,16,59,4,true,null
8589170,19,14,4,true,8588860
8504100,16,41,7,false,null
8588860,16,32,4,true,null
8589149,17,20,4,true,8588860
8588858,12,55,7,false,null
8504100,18,29,2,true,null
8589155,18,6,3,true,null
8588988,12,20,4,true,null
8592374,9,49,7,false,null
8589149,18,31,7,false,8592374
8589161,18,47,7,false,8589149
8587619,7,43,5,true,null
8588860,21,27,6,true,null
8589149,17,33,7,false,null
8588860,18,24,3,true,null
8589176,6,36,5,true,null
8589135,20,49,6,true,null
8589149,11,8,7,false,null
8592374,17,31,4,true,null
8589149,4,49,6,true,null
8593275,21,20,4,true,null
8577725,22,20,4,true,8593275
8504883,22,29,4,true,8577725
8589149,17,43,5,true,null
8577810,22,30,3,true,null
8504100,22,31,3,true,8577810
8589149,5,51,5,true,null
8592374,18,31,5,true,8589149
8589149,20,46,2,true,null
8504108,7,38,6,true,null
8592374,8,36,6,true,8504108
8589149,7,41,7,false,null
8589159,21,21,7,false,8589149
8588860,21,22,7,false,8589159
8578778,18,35,1,false,null
8504117,20,55,1,false,8578778
8589149,9,33,2,true,null
8592374,19,42,5,true,null
8589149,11,54,6,true,null
8592374,18,32,6,true,8589149
8589149,7,43,3,true,null
8577784,18,17,1,false,null
8588819,20,41,3,true,null
8589149,6,14,4,true,null
8587613,7,48,4,true,8589149
8592374,21,47,4,true,8587613
8589149,10,15,3,true,null
8587255,15,32,6,true,null
8589149,6,15,7,false,null
8577741,8,53,1,false,null
8589149,6,2,2,true,null
8592374,21,13,1,false,null
8589149,12,48,2,true,null
8577742,13,23,2,true,8589149
8577741,4,20,4,true,null
8589149,14,29,5,true,null
8592374,19,34,2,true,null
8589155,19,37,2,true,8592374
8592374,14,36,4,true,null
8589149,7,20,5,true,null
8589148,11,52,7,false,null
8589149,17,29,2,true,null
8504975,19,58,2,true,8589149
8577741,7,6,5,true,null
8589670,9,8,5,true,8577741
8577234,9,11,5,true,8589670
8589155,18,44,5,true,8577234
8577741,10,23,6,true,null
8593349,18,33,6,true,8577741
8592473,18,33,6,true,8593349
8589161,16,23,7,false,null
8589149,16,12,2,true,null
8577741,16,5,3,true,null
8592374,15,43,4,true,null
8577741,16,45,4,true,8592374
8587255,20,39,5,true,null
8577741,16,6,6,true,null
8592374,18,32,1,false,null
8589149,17,45,2,true,null
