@relation users

@attribute stationId {8588859,8588858,8588775,8500062,8589305,8589148,8589269,8589301,8581062,8504100,8589175,8577837,8500237,8592374,8589096,null,8589290,8504631,8504634,8500871,8500079,8504281,8589369,8591766,8593504,8589169,8589361,8589161,8577742,8592389,8577741,8578152,8589398,8587255,8589357,8589394,8589155,8589154,8589352,8588060,8500897,8572441,8038379,8578148,8577772,8590010,8504975,8504577,8592393}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8588859,8588858,8588775,8500062,8589305,8589148,8589269,8589301,8581062,8504100,8589175,8577837,8500237,8592374,8589096,null,8589290,8504631,8504634,8500871,8500079,8504281,8589369,8591766,8593504,8589169,8589361,8589161,8577742,8592389,8577741,8578152,8589398,8587255,8589357,8589394,8589155,8589154,8589352,8588060,8500897,8572441,8038379,8578148,8577772,8590010,8504975,8504577,8592393}
@attribute nextStationId {8588859,8588858,8588775,8500062,8589305,8589148,8589269,8589301,8581062,8504100,8589175,8577837,8500237,8592374,8589096,null,8589290,8504631,8504634,8500871,8500079,8504281,8589369,8591766,8593504,8589169,8589361,8589161,8577742,8592389,8577741,8578152,8589398,8587255,8589357,8589394,8589155,8589154,8589352,8588060,8500897,8572441,8038379,8578148,8577772,8590010,8504975,8504577,8592393}

@data
8504631,9,55,3,true,null,null
8592374,23,38,6,true,null,null
8590010,15,10,1,false,null,null
8577742,12,3,4,true,null,8592374
8592374,15,25,4,true,8577742,null
8590010,19,29,3,true,null,null
8577741,7,58,4,true,null,8592389
8592389,8,35,4,true,8577741,8592374
8592374,8,54,4,true,8592389,8590010
8590010,12,12,4,true,8592374,null
8587255,9,20,5,true,null,8592374
8592374,10,31,5,true,8587255,8589148
8589148,11,15,5,true,8592374,8592374
8592374,11,21,5,true,8589148,8588859
8588859,11,25,5,true,8592374,null
8589398,16,38,2,true,null,null
8500062,13,4,3,true,null,8589357
8589357,13,27,3,true,8500062,8593504
8593504,13,29,3,true,8589357,null
8589398,12,43,4,true,null,null
8592374,16,40,3,true,null,null
8504631,7,44,4,true,null,8577742
8577742,8,7,4,true,8504631,8577772
8577772,9,1,4,true,8577742,8587255
8587255,13,19,4,true,8577772,8592374
8592374,13,38,4,true,8587255,8504631
8504631,14,48,4,true,8592374,null
8577742,11,19,5,true,null,8589175
8589175,13,10,5,true,8577742,8577742
8577742,17,37,5,true,8589175,null
8591766,14,36,2,true,null,null
8504631,20,1,4,true,null,null
8577742,13,36,5,true,null,null
8590010,11,2,7,false,null,null
8577742,11,10,1,false,null,8504281
8504281,11,46,1,false,8577742,8592393
8592393,11,49,1,false,8504281,8589169
8589169,11,51,1,false,8592393,null
8589269,11,17,7,false,null,8577837
8577837,11,19,7,false,8589269,8592374
8592374,11,56,7,false,8577837,null
8577742,6,33,3,true,null,null
8504577,15,50,1,false,null,null
8589155,8,12,3,true,null,8588858
8588858,10,2,3,true,8589155,8589154
8589154,10,12,3,true,8588858,8577741
8577741,10,12,3,true,8589154,null
8577742,18,22,5,true,null,null
8592374,21,2,6,true,null,null
8589161,15,45,7,false,null,8504975
8504975,17,23,7,false,8589161,8577742
8577742,17,28,7,false,8504975,8592374
8592374,20,46,7,false,8577742,null
8577742,9,16,2,true,null,8577837
8577837,9,54,2,true,8577742,8587255
8587255,10,8,2,true,8577837,8504631
8504631,12,10,2,true,8587255,8577742
8577742,12,34,2,true,8504631,null
8504631,9,46,3,true,null,null
8577742,19,28,5,true,null,8589155
8589155,19,52,5,true,8577742,null
8590010,18,38,2,true,null,null
8577742,7,55,5,true,null,null
8589394,9,56,1,false,null,null
8589398,19,45,2,true,null,null
8500237,7,49,3,true,null,null
8589398,7,11,4,true,null,8589290
8589290,8,17,4,true,8589398,8581062
8581062,8,36,4,true,8589290,8578148
8578148,9,27,4,true,8581062,8588060
8588060,9,57,4,true,8578148,8500871
8500871,9,59,4,true,8588060,8589398
8589398,19,10,4,true,8500871,8578152
8578152,19,23,4,true,8589398,null
8588060,14,38,6,true,null,8500897
8500897,14,52,6,true,8588060,8588775
8588775,14,53,6,true,8500897,8589305
8589305,14,59,6,true,8588775,8500079
8500079,15,47,6,true,8589305,8589369
8589369,15,47,6,true,8500079,8589361
8589361,15,49,6,true,8589369,8589290
8589290,16,52,6,true,8589361,null
8589301,6,16,5,true,null,null
8589096,19,46,7,false,null,null
8572441,9,0,4,true,null,null
8504100,13,58,2,true,null,null
8577742,8,22,4,true,null,null
8592374,9,48,5,true,null,8577837
8577837,17,15,5,true,8592374,8587255
8587255,17,18,5,true,8577837,null
8589269,17,43,3,true,null,8587255
8587255,17,50,3,true,8589269,null
8504634,6,14,1,false,null,8589169
8589169,6,18,1,false,8504634,null
8589352,17,33,3,true,null,null
8577742,11,46,2,true,null,null
8038379,13,33,4,true,null,null
