@relation users

@attribute stationId {8582398,8576193,8582670,8590930,8590577,8591303,8591427,8503090,8591309,8500468,8591351,8579628,8591277,8591079,8503651,8590541,8503011,8591190,8576197,8591390,8580449,8503059,8582507,8576195,8590989,8578081,8580521,8591830,8591316,8591239,8573710,8503305,8503306,8591243,null,8591123,8591365,8591245,8591367,8590553,8502572,299407,8580912,8506899,8503500,8580472,8588314,8503197,8581762,8507110,8587348,8591368,8589960,8591203,8591369,8591447,8591329,8591208,8530811,8595331,8591374,8500207,8591254,8591331,8591299,8591057,8578116,8590561,8503512,8591093,8591170,8593592,8503087,8590127,8503084,8594298,8591184,8591262,8576646,8591186,8591384,8591385,8591341,8591067,299228,8591344,8503003,8503088,8573692,8578069,8580458,8503446,8578386,8591182,8591381}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8582398,8576193,8582670,8590930,8590577,8591303,8591427,8503090,8591309,8500468,8591351,8579628,8591277,8591079,8503651,8590541,8503011,8591190,8576197,8591390,8580449,8503059,8582507,8576195,8590989,8578081,8580521,8591830,8591316,8591239,8573710,8503305,8503306,8591243,null,8591123,8591365,8591245,8591367,8590553,8502572,299407,8580912,8506899,8503500,8580472,8588314,8503197,8581762,8507110,8587348,8591368,8589960,8591203,8591369,8591447,8591329,8591208,8530811,8595331,8591374,8500207,8591254,8591331,8591299,8591057,8578116,8590561,8503512,8591093,8591170,8593592,8503087,8590127,8503084,8594298,8591184,8591262,8576646,8591186,8591384,8591385,8591341,8591067,299228,8591344,8503003,8503088,8573692,8578069,8580458,8503446,8578386,8591182,8591381}
@attribute nextStationId {8582398,8576193,8582670,8590930,8590577,8591303,8591427,8503090,8591309,8500468,8591351,8579628,8591277,8591079,8503651,8590541,8503011,8591190,8576197,8591390,8580449,8503059,8582507,8576195,8590989,8578081,8580521,8591830,8591316,8591239,8573710,8503305,8503306,8591243,null,8591123,8591365,8591245,8591367,8590553,8502572,299407,8580912,8506899,8503500,8580472,8588314,8503197,8581762,8507110,8587348,8591368,8589960,8591203,8591369,8591447,8591329,8591208,8530811,8595331,8591374,8500207,8591254,8591331,8591299,8591057,8578116,8590561,8503512,8591093,8591170,8593592,8503087,8590127,8503084,8594298,8591184,8591262,8576646,8591186,8591384,8591385,8591341,8591067,299228,8591344,8503003,8503088,8573692,8578069,8580458,8503446,8578386,8591182,8591381}

@data
8591243,13,47,3,true,null,null
8591368,18,50,6,true,null,null
8591243,8,39,2,true,null,8591123
8591123,10,1,2,true,8591243,8503446
8503446,10,35,2,true,8591123,8591243
8591243,11,31,2,true,8503446,null
8591277,14,11,6,true,null,8590989
8590989,14,35,6,true,8591277,8506899
8506899,15,52,6,true,8590989,8582398
8582398,20,37,6,true,8506899,8503306
8503306,23,0,6,true,8582398,8588314
8588314,23,1,6,true,8503306,8590561
8590561,23,1,6,true,8588314,8590553
8590553,23,6,6,true,8590561,8576193
8576193,23,19,6,true,8590553,null
8591243,1,46,7,false,8576193,8506899
8506899,16,39,7,false,null,8582398
8582398,17,16,7,false,8506899,null
8591243,23,42,3,true,null,null
8591303,10,52,7,false,null,null
8503197,16,14,1,false,null,null
8591243,16,42,6,true,null,8591351
8591351,16,43,6,true,8591243,8503087
8503087,18,11,6,true,8591351,8591385
8591385,18,12,6,true,8503087,8591329
8591329,18,19,6,true,8591385,null
8591243,21,49,2,true,null,null
8591208,16,29,3,true,null,8591262
8591262,18,9,3,true,8591208,8591369
8591369,18,43,3,true,8591262,8503090
8503090,18,50,3,true,8591369,8591243
8591243,20,9,3,true,8503090,null
8591341,17,19,4,true,null,8591316
8591316,18,23,4,true,8591341,8591427
8591427,18,50,4,true,8591316,8573710
8573710,18,51,4,true,8591427,null
8591381,9,41,5,true,null,8503088
8503088,9,55,5,true,8591381,8582507
8582507,11,3,5,true,8503088,8581762
8581762,11,20,5,true,8582507,8576646
8576646,11,37,5,true,8581762,8590127
8590127,13,12,5,true,8576646,8507110
8507110,20,49,5,true,8590127,8591368
8591368,22,1,5,true,8507110,8591381
8591381,22,19,5,true,8591368,null
8591243,17,13,7,false,null,null
8591341,14,44,2,true,null,8503003
8503003,15,12,2,true,8591341,8503305
8503305,15,33,2,true,8503003,8580458
8580458,15,59,2,true,8503305,8582398
8582398,21,30,2,true,8580458,8573692
8573692,22,33,2,true,8582398,8594298
8594298,22,46,2,true,8573692,8590541
8590541,23,8,2,true,8594298,8503003
8503003,23,10,2,true,8590541,8576193
8576193,23,15,2,true,8503003,8591381
8591381,23,24,2,true,8576193,8591427
8591427,23,26,2,true,8591381,8573710
8573710,23,26,2,true,8591427,null
8591243,0,7,3,true,8573710,8591299
8591299,12,21,3,true,null,8503059
8503059,12,35,3,true,8591299,8530811
8530811,12,59,3,true,8503059,8576193
8576193,14,45,3,true,8530811,null
8591243,4,22,4,true,null,8591245
8591245,17,35,4,true,8591243,8591385
8591385,17,41,4,true,8591245,8591182
8591182,17,42,4,true,8591385,8591243
8591243,18,17,4,true,8591182,null
8591123,8,52,5,true,null,8587348
8587348,10,45,5,true,8591123,8591316
8591316,11,45,5,true,8587348,8576193
8576193,12,44,5,true,8591316,8591369
