@relation users

@attribute stationId {8592818,8587924,8592831,8587387,8592835,8592979,8592836,8738233,8501237,8593138,8592841,8571982,8593173,8593152,8592906,8592986,8592866,8587057,8592801,8592869,8593165,8592890,8592891,8592794,null,8592850,8592696,8593161,8593162}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8592818,8587924,8592831,8587387,8592835,8592979,8592836,8738233,8501237,8593138,8592841,8571982,8593173,8593152,8592906,8592986,8592866,8587057,8592801,8592869,8593165,8592890,8592891,8592794,null,8592850,8592696,8593161,8593162}
@attribute nextStationId {8592818,8587924,8592831,8587387,8592835,8592979,8592836,8738233,8501237,8593138,8592841,8571982,8593173,8593152,8592906,8592986,8592866,8587057,8592801,8592869,8593165,8592890,8592891,8592794,null,8592850,8592696,8593161,8593162}

@data
8593152,12,27,3,true,null,null
8593138,21,12,6,true,null,8593152
8593152,21,15,6,true,8593138,null
8592906,18,21,1,false,null,null
8592979,15,18,6,true,null,null
8593152,14,11,5,true,null,8593161
8593161,14,17,5,true,8593152,8592979
8592979,20,5,5,true,8593161,null
8593152,15,56,6,true,null,null
8592979,13,37,1,false,null,null
8593152,11,52,7,false,null,8587924
8587924,12,5,7,false,8593152,8738233
8738233,18,51,7,false,8587924,8501237
8501237,14,2,7,false,8738233,8593152
8593152,19,47,7,false,8501237,8587924
8587924,19,56,7,false,8593152,null
8592979,21,37,1,false,null,null
8593152,12,58,3,true,null,8587924
8587924,13,4,3,true,8593152,null
8593152,12,24,5,true,null,null
8593162,18,25,7,false,null,null
8593152,11,48,6,true,null,8592866
8592866,23,28,6,true,8593152,null
8592986,11,54,2,true,null,null
8593138,12,45,7,false,null,null
8592850,12,2,2,true,null,null
8592986,14,35,3,true,null,null
8592836,17,35,7,false,null,null
8593138,19,22,1,false,null,8593152
8593152,19,32,1,false,8593138,null
8593138,19,5,5,true,null,8593152
8593152,19,14,5,true,8593138,8592869
8592869,19,22,5,true,8593152,8592801
8592801,19,26,5,true,8592869,8592831
8592831,19,31,5,true,8592801,null
8592841,13,51,6,true,null,null
8593152,15,53,7,false,null,null
8592841,13,54,2,true,null,null
8593152,7,33,3,true,null,8592794
8592794,9,46,3,true,8593152,null
8593173,8,20,6,true,null,8592986
8592986,12,45,6,true,8593173,null
8593152,7,43,7,false,null,8593138
8593138,16,1,7,false,8593152,8592869
8592869,19,34,7,false,8593138,8592818
8592818,19,39,7,false,8592869,null
8593152,13,19,2,true,null,8587057
8587057,14,16,2,true,8593152,null
8592836,9,59,3,true,null,null
8593152,15,3,5,true,null,8592835
8592835,15,31,5,true,8593152,null
8593152,7,2,6,true,null,null
8592986,14,30,4,true,null,null
8593152,8,21,6,true,null,null
8593165,21,17,2,true,null,null
8593152,16,23,4,true,null,8592890
8592890,16,38,4,true,8593152,null
8593152,14,46,6,true,null,8592891
8592891,20,36,6,true,8593152,8592818
8592818,20,58,6,true,8592891,null
8593152,2,13,7,false,8592818,8571982
8571982,18,58,7,false,null,null
8592850,19,57,1,false,null,null
8593152,7,36,2,true,null,null
8592696,22,18,1,false,null,null
8593152,10,42,2,true,null,null
8592986,10,12,3,true,null,null
8593152,9,46,4,true,null,null
8592836,10,56,3,true,null,8593152
8593152,20,45,3,true,8592836,null
8593162,9,28,5,true,null,8592986
8592986,11,18,5,true,8593162,null
8587387,17,38,6,true,null,null
8593152,16,42,2,true,null,null
8592836,10,54,3,true,null,null
8593138,11,6,4,true,null,null
8593152,18,45,6,true,null,null
8587924,15,51,7,false,null,null
