@relation users

@attribute stationId {8587437,8587037,8592996,8592831,8592887,8592667,8592821,8592866,8587387,8592669,8587075,8592903,8592680,8592670,8592780,8595015,8593144,8501008,null,8592675,8587907}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8587437,8587037,8592996,8592831,8592887,8592667,8592821,8592866,8587387,8592669,8587075,8592903,8592680,8592670,8592780,8595015,8593144,8501008,null,8592675,8587907}
@attribute nextStationId {8587437,8587037,8592996,8592831,8592887,8592667,8592821,8592866,8587387,8592669,8587075,8592903,8592680,8592670,8592780,8595015,8593144,8501008,null,8592675,8587907}

@data
8592670,21,37,5,true,null,null
8501008,17,47,6,true,null,null
8592887,8,39,7,false,null,8592670
8592670,20,24,7,false,8592887,null
8587907,8,30,2,true,null,8501008
8501008,18,9,2,true,8587907,8592667
8592667,18,31,2,true,8501008,8587037
8587037,18,31,2,true,8592667,null
8587907,8,30,4,true,null,8587037
8587037,18,37,4,true,8587907,null
8587907,8,30,5,true,null,null
8587437,16,42,7,false,null,8595015
8595015,16,42,7,false,8587437,8587907
8587907,16,58,7,false,8595015,null
8592667,18,49,2,true,null,8587037
8587037,18,49,2,true,8592667,null
8501008,14,51,3,true,null,8592667
8592667,18,46,3,true,8501008,null
8501008,18,21,4,true,null,8592680
8592680,18,51,4,true,8501008,8587037
8587037,18,51,4,true,8592680,null
8592670,8,24,5,true,null,null
8587437,14,19,1,false,null,8501008
8501008,16,41,1,false,8587437,8592670
8592670,20,35,1,false,8501008,null
8595015,19,6,3,true,null,null
8501008,18,0,4,true,null,null
8595015,7,34,5,true,null,8592669
8592669,7,42,5,true,8595015,8592821
8592821,7,53,5,true,8592669,8592780
8592780,10,10,5,true,8592821,null
8592675,9,10,7,false,null,8587437
8587437,9,11,7,false,8592675,null
8501008,14,58,2,true,null,8592866
8592866,16,2,2,true,8501008,null
8501008,18,7,3,true,null,8587037
8587037,18,32,3,true,8501008,null
8592670,21,58,5,true,null,null
8587037,18,19,2,true,null,null
8592670,8,24,4,true,null,null
8587907,8,41,5,true,null,null
8587075,8,34,6,true,null,8592670
8592670,8,34,6,true,8587075,8501008
8501008,13,2,6,true,8592670,8592866
8592866,13,55,6,true,8501008,null
8501008,16,34,7,false,null,null
8592670,8,35,6,true,null,null
8587437,18,26,4,true,null,null
8592670,8,27,7,false,null,null
8587387,14,49,1,false,null,8593144
8593144,15,53,1,false,8587387,null
8592675,16,1,2,true,null,null
8501008,11,54,6,true,null,null
8592996,8,8,2,true,null,8592675
8592675,8,8,2,true,8592996,8592670
8592670,8,10,2,true,8592675,8501008
8501008,12,43,2,true,8592670,null
8592670,8,25,4,true,null,8501008
8501008,10,7,4,true,8592670,null
8592670,8,14,6,true,null,null
8592675,8,29,2,true,null,8592670
8592670,8,29,2,true,8592675,8592866
8592866,11,51,2,true,8592670,null
8592670,6,57,3,true,null,null
8592675,6,56,4,true,null,8592670
8592670,6,56,4,true,8592675,null
8592866,13,25,5,true,null,8587037
8587037,17,25,5,true,8592866,null
8592670,7,5,6,true,null,null
8592780,16,8,7,false,null,null
8592670,7,11,5,true,null,null
8592903,9,50,6,true,null,8592670
8592670,7,15,6,true,8592903,null
8501008,10,20,3,true,null,8592831
8592831,10,20,3,true,8501008,null
8501008,15,56,5,true,null,null
8592887,17,7,6,true,null,null
8592670,7,1,2,true,null,null
8501008,17,27,4,true,null,null
8592680,17,46,6,true,null,null
8592670,7,5,4,true,null,null
8501008,17,46,5,true,null,null
8587387,13,17,7,false,null,null
8501008,8,42,2,true,null,null
8592670,6,57,7,false,null,null
8501008,17,24,2,true,null,null
8592903,16,1,5,true,null,null
