@relation users

@attribute stationId {8576193,8503692,8503010,8591423,8591303,8591227,8591306,8503090,8591903,8591074,8573205,299313,8591198,299831,8591431,299559,8591433,8591279,8580522,8503011,299914,8576197,8591436,8591316,8591317,8591283,299289,8594553,8530813,8591364,299446,null,299447,8591322,8591201,8591366,8591245,8591323,299605,299407,299804,299180,8591204,8591205,8591404,8530812,299383,299385,8591173,299377,8591131,299137,8591299,8591058,8591059,8591257,8591414,8591216,8591184,8591064,8503449,8591067,299501}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8576193,8503692,8503010,8591423,8591303,8591227,8591306,8503090,8591903,8591074,8573205,299313,8591198,299831,8591431,299559,8591433,8591279,8580522,8503011,299914,8576197,8591436,8591316,8591317,8591283,299289,8594553,8530813,8591364,299446,null,299447,8591322,8591201,8591366,8591245,8591323,299605,299407,299804,299180,8591204,8591205,8591404,8530812,299383,299385,8591173,299377,8591131,299137,8591299,8591058,8591059,8591257,8591414,8591216,8591184,8591064,8503449,8591067,299501}
@attribute nextStationId {8576193,8503692,8503010,8591423,8591303,8591227,8591306,8503090,8591903,8591074,8573205,299313,8591198,299831,8591431,299559,8591433,8591279,8580522,8503011,299914,8576197,8591436,8591316,8591317,8591283,299289,8594553,8530813,8591364,299446,null,299447,8591322,8591201,8591366,8591245,8591323,299605,299407,299804,299180,8591204,8591205,8591404,8530812,299383,299385,8591173,299377,8591131,299137,8591299,8591058,8591059,8591257,8591414,8591216,8591184,8591064,8503449,8591067,299501}

@data
8594553,7,12,3,true,null,null
8591283,18,13,4,true,null,null
8591059,7,9,3,true,null,null
8591283,12,18,4,true,null,null
8591306,8,46,6,true,null,8591058
8591058,9,9,6,true,8591306,8591283
8591283,15,19,6,true,8591058,8591059
8591059,6,45,6,true,8591283,null
8591283,18,25,4,true,null,null
8591059,6,56,6,true,null,8591283
8591283,19,23,6,true,8591059,null
8591058,18,39,4,true,null,null
8591283,16,33,2,true,null,null
8591306,5,20,4,true,null,null
8576197,17,16,3,true,null,null
8503692,15,56,5,true,null,null
8591283,17,40,2,true,null,null
8591058,11,3,6,true,null,8576193
8576193,12,18,6,true,8591058,null
8591283,9,7,2,true,null,null
8591322,8,1,7,false,null,8591184
8591184,14,8,7,false,8591322,null
8591306,5,25,4,true,null,null
8591283,18,33,3,true,null,null
8591306,5,7,4,true,null,null
8591059,5,51,3,true,null,null
8591299,5,58,4,true,null,8591283
8591283,15,18,4,true,8591299,null
8591317,11,22,6,true,null,8591903
8591903,13,41,6,true,8591317,8530812
8530812,14,5,6,true,8591903,8591364
8591364,14,6,6,true,8530812,8530813
8530813,14,7,6,true,8591364,null
8591404,5,59,2,true,null,8591283
8591283,17,36,2,true,8591404,8591067
8591067,5,54,2,true,8591283,8591316
8591316,5,58,2,true,8591067,8591299
8591299,6,3,2,true,8591316,null
8591059,6,7,4,true,null,null
8591257,5,37,2,true,null,8591283
8591283,16,25,2,true,8591257,null
8591306,5,33,3,true,null,null
8591283,6,19,2,true,null,8503011
8503011,18,2,2,true,8591283,null
8591283,9,24,3,true,null,null
8591257,16,13,4,true,null,null
8591306,2,18,1,false,null,null
8591205,5,55,3,true,null,8503010
8503010,5,56,3,true,8591205,null
8591283,9,36,4,true,null,null
8591306,12,59,7,false,null,null
8503090,15,25,3,true,null,null
8591306,16,23,7,false,null,null
299831,11,4,1,false,null,8591064
8591064,14,25,1,false,299831,null
299377,11,25,2,true,null,null
8591306,16,38,1,false,null,null
299559,18,17,4,true,null,null
299385,10,10,2,true,null,null
8591306,17,30,5,true,null,null
299383,15,19,3,true,null,null
299605,18,5,4,true,null,null
299289,9,50,6,true,null,8503449
8503449,9,50,6,true,299289,null
299137,7,59,7,false,null,299804
299804,13,27,7,false,299137,null
8591058,15,59,2,true,null,null
299313,16,6,5,true,null,null
299407,13,13,3,true,null,8591303
8591303,22,47,3,true,299407,null
299501,5,58,4,true,null,null
299914,17,21,7,false,null,299447
299447,17,21,7,false,299914,null
