@relation users

@attribute stationId {8588858,8530016,8589148,8589269,8589164,8589142,8588352,8570499,8592368,8504026,8577741,8504100,8504881,8504029,8504624,8504027,8504028,8588343,8589153,8588341,8589177,8589154,8592374,8577810,null,8583329,8577771}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8588858,8530016,8589148,8589269,8589164,8589142,8588352,8570499,8592368,8504026,8577741,8504100,8504881,8504029,8504624,8504027,8504028,8588343,8589153,8588341,8589177,8589154,8592374,8577810,null,8583329,8577771}
@attribute nextStationId {8588858,8530016,8589148,8589269,8589164,8589142,8588352,8570499,8592368,8504026,8577741,8504100,8504881,8504029,8504624,8504027,8504028,8588343,8589153,8588341,8589177,8589154,8592374,8577810,null,8583329,8577771}

@data
8589154,10,26,6,true,null,8589148
8589148,14,22,6,true,8589154,8504026
8504026,20,47,6,true,8589148,null
8504028,7,42,2,true,null,8589148
8589148,8,36,2,true,8504028,8504026
8504026,19,41,2,true,8589148,null
8592374,7,25,3,true,null,8589148
8589148,16,19,3,true,8592374,8504100
8504100,16,37,3,true,8589148,null
8589148,15,54,5,true,null,null
8577741,16,45,6,true,null,null
8504026,11,59,3,true,null,null
8588341,3,55,1,false,null,null
8589148,12,27,2,true,null,8577741
8577741,13,50,2,true,8589148,null
8589148,9,48,4,true,null,null
8592374,10,55,3,true,null,8589148
8589148,14,51,3,true,8592374,null
8592368,11,21,5,true,null,8577771
8577771,11,21,5,true,8592368,8592374
8592374,11,21,5,true,8577771,null
8577741,13,44,6,true,null,null
8589148,15,49,4,true,null,8577741
8577741,15,52,4,true,8589148,8589148
8589148,15,18,4,true,8577741,null
8577741,15,1,5,true,null,8592374
8592374,11,55,5,true,8577741,null
8589148,14,49,3,true,null,8592374
8592374,20,54,3,true,8589148,null
8589164,5,13,7,false,null,8530016
8530016,5,25,7,false,8589164,null
8589269,21,47,3,true,null,null
8592374,19,56,4,true,null,null
8577810,19,59,2,true,null,null
8589164,11,17,6,true,null,8589142
8589142,11,22,6,true,8589164,8589153
8589153,13,56,6,true,8589142,8589148
8589148,15,53,6,true,8589153,null
8592374,10,53,2,true,null,8589148
8589148,15,15,2,true,8592374,null
8504624,17,19,3,true,null,null
8504100,5,57,4,true,null,8577741
8577741,8,19,4,true,8504100,8504881
8504881,9,2,4,true,8577741,null
8577741,14,53,2,true,null,null
8570499,21,11,5,true,null,null
8577741,14,22,2,true,null,null
8588343,5,49,3,true,null,8592374
8592374,6,0,3,true,8588343,null
8577741,15,20,2,true,null,null
8570499,5,42,6,true,null,8504881
8504881,6,3,6,true,8570499,null
8504027,5,57,3,true,null,8589153
8589153,6,11,3,true,8504027,8589148
8589148,11,48,3,true,8589153,null
8577741,12,2,5,true,null,8588858
8588858,9,2,5,true,8577741,null
8577741,11,7,4,true,null,null
8592374,16,25,5,true,null,8577741
8577741,19,43,5,true,8592374,null
8589148,10,50,2,true,null,null
8592374,8,55,5,true,null,8589148
8589148,11,53,5,true,8592374,8589177
8589177,16,34,5,true,8589148,null
8592374,14,59,6,true,null,null
8577741,16,45,2,true,null,null
8589148,17,50,4,true,null,null
8577741,14,39,6,true,null,null
8504881,7,55,4,true,null,8589148
8589148,17,25,4,true,8504881,null
8504881,7,53,2,true,null,8592374
8592374,12,25,2,true,8504881,null
8504881,7,52,6,true,null,null
8588858,7,50,3,true,null,8592374
8592374,7,52,3,true,8588858,null
8570499,6,38,6,true,null,null
8577741,10,46,2,true,null,null
8504029,7,18,5,true,null,8577741
8577741,10,18,5,true,8504029,8589148
8589148,15,44,5,true,8577741,8577741
8577741,15,50,5,true,8589148,8589148
8589148,15,18,5,true,8577741,null
8504100,7,52,2,true,null,8589148
8589148,10,51,2,true,8504100,null
8577741,11,49,6,true,null,null
8589148,17,21,2,true,null,null
8577741,13,48,3,true,null,null
8588352,7,53,2,true,null,8577741
8577741,10,50,2,true,8588352,8570499
8570499,12,7,2,true,8577741,8504027
8504027,12,10,2,true,8570499,8592374
8592374,12,24,2,true,8504027,8577741
8577741,16,5,2,true,8592374,8504100
8504100,12,37,2,true,8577741,null
8589148,15,22,4,true,null,null
8577741,11,53,6,true,null,null
8577771,6,19,3,true,null,null
8577741,15,24,2,true,null,null
8583329,19,54,5,true,null,null
8577741,9,54,2,true,null,null
