@relation users

@attribute stationId {8588858,8591766,8591767,8589147,8589141,8589163,8570495,8577804,8589161,8577820,8592368,8577686,8577785,8504100,8504881,8504028,8589138,8587238,8588860,8587255,8588345,8588344,8589175,8589177,8589155,8589176,8592374,8577812,8592375,8577810,null,8577811,8592377,8592378,8592379,8592370}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8588858,8591766,8591767,8589147,8589141,8589163,8570495,8577804,8589161,8577820,8592368,8577686,8577785,8504100,8504881,8504028,8589138,8587238,8588860,8587255,8588345,8588344,8589175,8589177,8589155,8589176,8592374,8577812,8592375,8577810,null,8577811,8592377,8592378,8592379,8592370}

@data
8570495,18,18,5,true,null
8592374,12,55,6,true,null
8577812,14,40,6,true,8592374
8592374,12,14,1,false,null
8591767,15,31,1,false,8592374
8577810,15,38,1,false,8591767
8589161,9,24,3,true,null
8592374,12,18,3,true,8589161
8591767,10,39,3,true,8592374
8591766,15,10,3,true,8591767
8592374,8,27,3,true,8591766
8589177,10,0,3,true,8592374
8589175,11,14,3,true,8589177
8591766,15,27,3,true,8589175
8587255,15,33,3,true,8591766
8589176,16,3,3,true,8587255
8592374,14,11,4,true,null
8589141,20,39,4,true,8592374
8570495,2,55,6,true,null
8592379,16,37,1,false,null
8592374,9,16,3,true,null
8589147,10,10,3,true,8592374
8591766,15,26,3,true,8589147
8587255,15,36,3,true,8591766
8577810,15,36,3,true,8587255
8504100,15,48,3,true,8577810
8589161,13,46,1,false,null
8591766,15,26,1,false,8589161
8577810,15,41,1,false,8591766
8587238,16,30,1,false,8577810
8589161,16,42,1,false,8587238
8591766,19,24,1,false,8589161
8577810,15,44,3,true,null
8588860,13,59,4,true,null
8592378,15,33,4,true,8588860
8592375,15,37,4,true,8592378
8592379,15,30,1,false,null
8589161,15,26,6,true,null
8589177,16,5,6,true,8589161
8587255,16,15,6,true,8589177
8592374,10,36,6,true,8587255
8591766,14,17,3,true,null
8589177,10,38,3,true,8591766
8591766,14,26,3,true,8589177
8588344,15,28,3,true,8591766
8589161,6,36,4,true,null
8589155,13,24,4,true,8589161
8588345,15,22,4,true,8589155
8504028,15,39,4,true,8588345
8588858,12,36,4,true,8504028
8589138,15,51,4,true,8588858
8587255,17,24,6,true,null
8592370,16,36,1,false,null
8577820,16,55,1,false,8592370
8577686,11,8,3,true,null
8589177,19,5,5,true,null
8570495,4,18,6,true,null
8577804,13,47,6,true,8570495
8592379,14,16,6,true,8577804
8588345,15,48,4,true,null
8577804,18,10,5,true,null
8587238,10,46,4,true,null
8589155,13,49,5,true,null
8577804,13,48,6,true,null
8570495,8,15,7,false,null
8577811,13,20,6,true,null
8577812,15,29,6,true,8577811
8577785,16,34,7,false,null
8504028,14,46,5,true,null
8588860,12,44,4,true,null
8592378,14,24,4,true,8588860
8570495,20,9,4,true,8592378
8592368,11,50,4,true,8570495
8592377,13,28,4,true,8592368
8589163,14,16,4,true,8592377
8589161,16,32,5,true,null
8592379,12,38,5,true,8589161
8570495,7,9,7,false,null
8589161,12,50,3,true,null
8504881,12,56,3,true,8589161
8592377,14,28,3,true,8504881
8577804,15,28,6,true,null
