@relation users

@attribute stationId {8530151,8587103,8589148,8033449,8588352,8588351,8530805,8593275,8589161,8577742,8570773,8594248,8577784,8577741,8504100,8504089,8505735,8592382,8588342,8589175,8589155,8589177,8571156,8576646,8592374,8501647,8571154,8577812,8501965,8504912,8577813,8595223,8593289,null,8577811,8577778,8592379,8504631,8501782,8577771,8504975,8577790}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8530151,8587103,8589148,8033449,8588352,8588351,8530805,8593275,8589161,8577742,8570773,8594248,8577784,8577741,8504100,8504089,8505735,8592382,8588342,8589175,8589155,8589177,8571156,8576646,8592374,8501647,8571154,8577812,8501965,8504912,8577813,8595223,8593289,null,8577811,8577778,8592379,8504631,8501782,8577771,8504975,8577790}

@data
8577742,22,44,7,false,null
8588352,16,19,1,false,null
8504100,16,19,1,false,8588352
8577742,8,27,2,true,null
8577741,11,14,2,true,8577742
8589155,12,1,2,true,8577741
8577741,16,55,2,true,8589155
8577742,16,19,3,true,null
8589155,13,27,5,true,null
8576646,14,28,5,true,8589155
8588352,16,36,5,true,8576646
8577741,19,35,5,true,8588352
8577742,10,49,6,true,null
8577741,11,59,6,true,8577742
8589155,12,28,6,true,8577741
8504100,12,55,6,true,8589155
8577741,13,7,6,true,8504100
8504100,8,50,7,false,null
8577742,11,14,3,true,null
8577741,17,43,3,true,8577742
8577742,18,38,3,true,8577741
8577741,16,10,4,true,null
8577742,16,19,4,true,8577741
8504100,21,15,4,true,8577742
8577742,22,0,4,true,8504100
8577741,17,28,5,true,null
8577742,20,35,5,true,8577741
8577741,12,31,7,false,null
8589155,12,58,7,false,8577741
8577741,15,32,7,false,8589155
8504100,15,52,7,false,8577741
8577742,17,12,7,false,8504100
8577741,15,36,1,false,null
8577742,16,41,1,false,8577741
8577741,8,2,2,true,null
8577742,18,34,2,true,8577741
8577741,13,56,3,true,null
8577742,19,55,3,true,8577741
8577741,14,10,4,true,null
8577742,21,27,4,true,8577741
8577741,14,17,5,true,null
8577742,12,22,1,false,null
8577741,17,47,1,false,8577742
8577742,6,52,2,true,null
8577741,11,1,2,true,8577742
8577742,20,27,2,true,8577741
8577741,18,8,3,true,null
8577742,6,49,4,true,null
8570773,9,2,4,true,8577742
8530151,7,16,5,true,null
8501965,12,37,5,true,8530151
8577742,11,40,6,true,null
8577741,16,53,6,true,8577742
8577742,9,37,7,false,null
8589155,10,49,7,false,8577742
8577741,11,21,7,false,8589155
